indicator_harmonized,indic_ids,sources,policy,Categories,Categories_2,Subcategories,Subcategories_2
"proportion of total government spending on essential services (education, health and social protection)",SDG_G1.a.2_12,SDG,1,Governance,NA,Legislation/governance,NA
proportion of total research budget allocated to research in the field of marine technology,GBF_GD_CY_101;GBF_T19_CY_243;SDG_G14.a.1_191;IPBES_SUA_sup_14.a.1_118,GBF;SDG;IPBES,1,Knowledge systems,NA,Information on society and socio-economics,NA
proportion of traded wildlife that was poached or illicitly trafficked,SDG_G15.7.1_203;SDG_G15.c.1_211;IPBES_SUA_sup_15.7.1_129;IPBES_SUA_sup_15.c.1_137,SDG;IPBES,1,Direct drivers,NA,Specific mention of over-exploitation and unsustainable use of species/ecosystems,NA
proportion of transboundary basin area with an operational arrangement for water cooperation,GBF_T1_CY_110;SDG_G6.5.2_90;IPBES_SUA_sup_6.5.2_35,GBF;SDG;IPBES,1,Ecosystem services,NA,Nature contribution,NA
proportion of unpalatable plants on rangelands,IPBES_GA_2.2_65_113,IPBES,0,ecosystems,NA,State of ecosystems (configuration),NA
proportion of urban area,IPBES_IAS_2_5_11,IPBES,0,Human assets,NA,Infrastructure (build-up area),NA
proportion of urban population,IPBES_GA_2_24_29,IPBES,0,Knowledge systems,NA,Information on society and socio-economics,NA
"proportion of urban population living in slums, informal settlements or inadequate housing",SDG_G11.1.1_143,SDG,1,Human assets,Governance,Coverage of basic needs,Broken governance
"proportion of victims of (a) physical, (b) psychological and/or (c) sexual violence in the previous 12 months who reported their victimization to competent authorities or other officially recognized conflict resolution mechanisms",SDG_G16.3.1_219,SDG,1,Human assets,Governance,Coverage of basic needs,Broken governance
"proportion of women aged 15-49 years who make their own informed decisions regarding sexual relations, contraceptive use and reproductive health care",SDG_G5.6.1_76,SDG,1,Human well-being,Governance,Equity,Broken governance
proportion of women aged 20-24 years who were married or in a union before age 15 and before age 18,SDG_G5.3.1_71,SDG,1,Human well-being,Governance,Equity,Broken governance
"proportion of women and girls aged 15 years and older subjected to sexual violence by persons other than an intimate partner in the previous 12 months, by age and place of occurrence",SDG_G5.2.1_69;SDG_G5.2.2_70,SDG,1,Human well-being,Governance,Equity,Broken governance
proportion of women in managerial positions,SDG_G5.5.2_75,SDG,1,Knowledge systems,Governance,Information on society and socio-economics,Broken governance
proportion of women of reproductive age (aged 15-49 years) who have their need for family planning satisfied with modern methods,SDG_G3.7.1_42,SDG,1,Human assets,Governance,Coverage of basic needs,Broken governance
proportion of young women and men aged 18-29 years who experienced sexual violence by age 18,SDG_G16.2.3_218,SDG,1,Knowledge systems,Governance,Information on society and socio-economics,Broken governance
"proportion of youth (aged 15-24 years) not in education, employment or training",SDG_G8.6.1_107;IPBES_SUA_sup_8.6.1_51,SDG;IPBES,1,Human assets,NA,Coverage of basic needs,NA
"proportion of youth and adults with information and communications technology (ict) skills, by type of skill",SDG_G4.4.1_61,SDG,1,Knowledge systems,Human assets,Information on society and socio-economics,Coverage of basic needs
"proportions of positions in national and local institutions, including (a) the legislatures; (b) the public service; and (c) the judiciary, compared to national distributions, by sex, age, persons with disabilities and population groups",SDG_G16.7.1_228,SDG,1,Human well-being,NA,Equity,NA
prospective inclusion of other native taxa and threatened habitats,IPBES_IAS_6_21_146,IPBES,0,Knowledge systems,NA,Information on biodiversity,NA
protected area and oecm management effectiveness (mepca) indicator,GBF_T3_CY_135,GBF,1,ecosystems,Governance,Area conservation,Nature-based legislation
protected area connectedness (parc-connectedness) index,GBF_GA_C_6;GBF_T3_C_20;IPBES_GA_1_52_19,GBF;IPBES,1,ecosystems,NA,State of ecosystems (configuration),NA
protected area coverage,IPBES_GA_1_52_19,IPBES,0,ecosystems,NA,Area conservation,NA
"protected area coverage of bird, mammal and amphibian distributions",IPBES_GA3_sup_46,IPBES,0,ecosystems,biodiversity,Area conservation,State of biodiversity
protected area coverage of important sites for mountain biodiversity,SDG_G15.4.1_198;IPBES_SUA_sup_15.4.1_125,SDG;IPBES,1,ecosystems,biodiversity,Area conservation,State of biodiversity
protected area coverage of important sites for terrestrial and freshwater biodiversity,SDG_G15.1.2_195;IPBES_SUA_sup_15.1.2_122,SDG;IPBES,1,ecosystems,NA,Area conservation,NA
protected area coverage of key biodiversity areas,GBF_T3_C_17;IPBES_GA_1_52_19;IPBES_GA_3_55_389;IPBES_GA_3_72_395;IPBES_GA3_sup_43,GBF;IPBES,1,ecosystems,biodiversity,Area conservation,State of biodiversity
protected area coverage of marine and coastal areas,SDG_G14.5.1_188;IPBES_GA_3_72_395;IPBES_GA3_sup_41;IPBES_SUA_sup_14.5.1_115,SDG;IPBES,1,ecosystems,ecosystems,Area conservation,State of ecosystems (marine)
"protected area coverage of terrestrial, marine and freshwater ecoregions",IPBES_GA_1_52_19,IPBES,0,ecosystems,NA,Area conservation,NA
"protected area downgrading, downsizing and degazettement (pd)",GBF_T3_CY_131,GBF,1,ecosystems,NA,Change in ecosystems,NA
protected area isolation index (pai),GBF_T3_CY_136,GBF,1,ecosystems,NA,State of ecosystems (coverage),NA
protected area management effectiveness (pame),GBF_T3_C_18;IPBES_GA_1_52_19,GBF;IPBES,1,ecosystems,Governance,Area conservation,Nature-based legislation
protected area representativeness index,IPBES_GA_1_52_19,IPBES,0,ecosystems,Governance,Area conservation,Nature-based legislation
protected areas network metric (pronet),GBF_T3_CY_137,GBF,1,ecosystems,NA,Area conservation,NA
protected connected (protconn) index,GBF_GA_C_5;GBF_T3_C_19,GBF,1,ecosystems,ecosystems,Area conservation,State of ecosystems (configuration)
protection of key biodiversity areas,IPBES_GA_2_24_29,IPBES,0,ecosystems,NA,Area conservation,NA
protein intake per country per person,IPBES_GA2.1_sup_17,IPBES,0,Knowledge systems,NA,Information on society and socio-economics,NA
"provision of safe, reliable drinking water",GEO_9_18_80,GEO,0,Human well-being,NA,Healthy living conditions,NA
proximity of people and nature,IPBES_GA_2.3_42_143,IPBES,0,Knowledge systems,NA,Specific information on human-nature relationship,NA
quality and abundance of food and medicine species,IPBES_SUA_2_95_77;IPBES_SUA_2_96_79,IPBES,0,Knowledge systems,biodiversity,ILK,State of biodiversity
quality of governance index,IPBES_SUA_4_61_118,IPBES,0,Governance,NA,Legislation/governance,NA
quantity of land area known to have (in)sufficient infrastructure against flooding,GEO_17_8_200,GEO,0,Human assets,NA,Infrastructure (build-up area),NA
radiative forcing,IPCC_7_91_360,IPCC,0,Direct drivers,NA,Climate change,NA
radio occultation,IPCC_2_42_69,IPCC,0,Direct drivers,NA,Climate change,NA
rainfall,IPCC_8_42_382,IPCC,0,ecosystems,NA,Abiotic conditions,NA
rainfall variability,IPCC_8_77_414,IPCC,0,ecosystems,NA,Abiotic conditions,NA
ramsar management effectiveness tracking tool (r-mett),GBF_T3_CY_140,GBF,1,ecosystems,NA,Area conservation,NA
ramsar sites,IPBES_GA_1_52_19;IPBES_GA2.1_sup_59,IPBES,0,ecosystems,NA,Area conservation,NA
range contractions,IPBES_GA_2.3_75_161,IPBES,0,biodiversity,NA,Change in biodiversity,NA
range-size rarity,IPBES_GA_2.2_21_61,IPBES,0,biodiversity,NA,State of biodiversity,NA
rate of invasive alien species establishment,GBF_T6_H_22;GBF_T4_CY_153;IPBES_IAS_6_119_173,GBF;IPBES,1,Direct drivers,NA,Invasive alien species,NA
rate of invasive alien species spread,GBF_T6_C_34,GBF,1,Direct drivers,NA,Invasive alien species,NA
rate of invasive species impact and rate of impact,GBF_T6_C_33,GBF,1,Direct drivers,NA,Invasive alien species,NA
rate of land use change,IPBES_GA_2.3_39_137,IPBES,0,Direct drivers,ecosystems,Land conversion,Change in ecosystems
rate of rslr (relative sea level rise),IPCC_12_20_605,IPCC,0,ecosystems,ecosystems,Abiotic conditions,State of ecosystems
rate of species accumulation,IPBES_IAS_2_15_20,IPBES,0,biodiversity,NA,Change in biodiversity,NA
rate of use of pesticides,IPBES_VA_3_26_59,IPBES,0,Direct drivers,NA,Pollution,NA
rate of wood removal,IPBES_VA_3_26_59,IPBES,0,Ecosystem services,NA,Nature contribution,NA
ratio of land consumption rate to population growth rate,SDG_G11.3.1_145;GEO_15_17_161;GEO_15_20_171;IPBES_SUA_sup_11.3.1_79,SDG;IPBES;GEO,1,Ecosystem services,Human assets,Nature contribution,Coverage of basic needs
ratio of land consumption rate to urban population growth rate at comparable scale,GEO_15_21_173,GEO,0,Direct drivers,NA,Land conversion,NA
recognition and value of forest-management knowledge and skills of local people,IPBES_SUA_2_92_69,IPBES,0,Knowledge systems,NA,ILK,NA
recommended intake values for the food groups,GEO_17_12_206,GEO,0,Human well-being,NA,Healthy living conditions,NA
recreation and cultural ecosystem services provided,GBF_T12_C_54,GBF,1,Human well-being,NA,Recreation,NA
recruitment cost borne by employee as a proportion of monthly income earned in country of destination,SDG_G10.7.1_136,SDG,1,Human assets,NA,State of economy,Income
recycling rate,GBF_T16_CY_217,GBF,1,Knowledge systems,NA,Specific information on human-nature relationship,NA
red list index,GBF_GA_H_3;GBF_T4_H_19;GBF_T2_CY_127;SDG_G15.5.1_201;IPBES_GA_1_52_19;IPBES_GA_2.2_37_70;IPBES_GA_2.2_51_92;IPBES_GA_2.2_70_120;IPBES_GA_4_30_175;IPBES_GA_3_40_368;IPBES_GA_3_45_374;IPBES_GA_3_150_436;IPBES_SUA_1_1_1;IPBES_SUA_1_22_10;IPBES_SUA_4_70_126;IPBES_SUA_4_71_127;IPBES_IAS_2_48_40;IPBES_IAS_4_22_102;IPBES_IAS_5_52_127;GEO_6_15_50;GEO_6_16_54;IPBES_GA2.2_sup_59;IPBES_GA3_sup_50;IPBES_SUA_sup_15.5.1_127,GBF;SDG;IPBES;GEO,1,biodiversity,NA,State of biodiversity,NA
red list index (birds and mammals),IPBES_GA_3_51_382,IPBES,0,biodiversity,NA,State of biodiversity,NA
red list index (for utilized species),GBF_GB_C_10;GBF_T5_C_30;GBF_T9_C_45;IPBES_GA_2.2_51_92;IPBES_GA_3_15_329;GEO_13_18_136;IPBES_GA2.2_sup_63;IPBES_GA3_sup_11;IPBES_GA3_sup_56,GBF;IPBES;GEO,1,biodiversity,Ecosystem services,State of biodiversity,Nature contribution
red list index (forest specialists),IPBES_GA_3_15_329;IPBES_GA2.2_sup_60;IPBES_GA3_sup_19,IPBES,0,biodiversity,NA,State of biodiversity,NA
red list index (impacts of fisheries),IPBES_GA_3_15_329;IPBES_GA3_sup_23,IPBES,0,biodiversity,Ecosystem services,State of biodiversity,Nature contribution
red list index (impacts of invasive alien species),GBF_T6_CY_169;IPBES_GA_3_72_395;IPBES_GA3_sup_34,GBF;IPBES,1,biodiversity,Direct drivers,State of biodiversity,Invasive alien species
red list index (impacts of pollution),GBF_T7_C_39;IPBES_GA_3_72_395;IPBES_GA3_sup_30,GBF;IPBES,1,biodiversity,Direct drivers,State of biodiversity,Pollution
red list index (internationally traded birds),IPBES_GA2.2_sup_61,IPBES,0,biodiversity,Ecosystem services,State of biodiversity,Nature contribution
red list index (internationally traded species and migratory species),GBF_T5_CY_155,GBF,1,biodiversity,NA,State of biodiversity,NA
red list index (internationally traded species),GBF_GB_CY_89;IPBES_GA_2.2_51_92;IPBES_GA_3_15_329;IPBES_GA3_sup_12,GBF;IPBES,1,biodiversity,Ecosystem services,State of biodiversity,Nature contribution
red list index (migratory species),CMS_G3.8_12,CMS,1,biodiversity,Knowledge systems,State of biodiversity,Information on biodiversity
red list index (pollinators),GBF_GB_CY_59;GBF_T10_CY_196;IPBES_GA_2.2_51_92;IPBES_GA2.2_sup_62;IPBES_GA3_sup_57,GBF;IPBES,1,biodiversity,Ecosystem services,State of biodiversity,Nature contribution
red list index (vertebrate pollinators),IPBES_GA_3_45_374,IPBES,0,biodiversity,NA,State of biodiversity,NA
red list index (wild relatives of farmed and domesticated species),GBF_GA_CY_48;GBF_T4_CY_152;GBF_T10_CY_195;IPBES_GA_2.2_51_92;IPBES_GA2.2_sup_64;IPBES_GA3_sup_54,GBF;IPBES,1,biodiversity,Ecosystem services,State of biodiversity,Nature contribution
red list of ecosystems,GBF_GA_H_1;GBF_T1_H_13;GBF_T3_C_21;GBF_T2_CY_128;GBF_T3_CY_145;GBF_T7_CY_177;GEO_14_16_157,GBF;GEO,1,ecosystems,NA,State of ecosystems,NA
redistributive impact of fiscal policy,SDG_G10.4.2_133,SDG,1,Human assets,Governance,Income,Legislation/governance
reduced concentration of pollutants in water,IPBES_GA_2.3_42_143,IPBES,0,Direct drivers,NA,Pollution,NA
reduced concentrations of greenhouse gases in the atmosphere,IPBES_GA_2.3_42_143,IPBES,0,Direct drivers,NA,Pollution,NA
reduced concentrations of pm2.5,IPBES_GA_2.3_42_143,IPBES,0,Direct drivers,NA,Pollution,NA
reduced cost of road construction,IPBES_VA_2_76_48,IPBES,0,Human assets,NA,Infrastructure (build-up area),NA
reduced cost of road maintenance,IPBES_VA_2_76_48,IPBES,0,Human assets,NA,Infrastructure (build-up area),NA
reduced food spoilage,IPBES_GA_2.3_42_143,IPBES,0,Ecosystem services,NA,Nature contribution,NA
reduced hunger,IPBES_GA_2.3_42_143,IPBES,0,Human well-being,NA,Healthy living conditions,NA
reduced incidence and severity of hazards,IPBES_GA_2.3_42_143,IPBES,0,Human well-being,NA,Healthy living conditions,NA
reduced incidence of infectious diseases,IPBES_GA_2.3_42_143,IPBES,0,Direct drivers,NA,(Infectious) diseases,NA
reduced incidence of water borne disease,IPBES_GA_2.3_42_143,IPBES,0,Direct drivers,NA,(Infectious) diseases,NA
reduced malnutrition,IPBES_GA_2.3_42_143,IPBES,0,Human well-being,NA,Healthy living conditions,NA
reduced morbidity and premature mortality due to natural hazards,IPBES_GA_2.3_42_143,IPBES,0,Human well-being,NA,Healthy living conditions,NA
reduced net farm income loss from pests and diseases,IPBES_GA_2.3_42_143,IPBES,0,Human assets,NA,Income,NA
reduced ocean acidification,IPBES_GA_2.3_42_143,IPBES,0,Direct drivers,NA,Pollution,NA
reduced property loss due to natural hazards,IPBES_GA_2.3_42_143,IPBES,0,Human well-being,NA,Healthy living conditions,NA
reduced risk of disease transmission,IPBES_GA_2.3_42_143,IPBES,0,Direct drivers,NA,(Infectious) diseases,NA
reduction in climate related costs,IPBES_GA_2.3_42_143,IPBES,0,Governance,NA,Legislation/governance,NA
reduction in post-volcanic eruption extreme precipitation,IPCC_11_50_537,IPCC,0,ecosystems,NA,Abiotic conditions,NA
reef growth,IPCC_2_67_109,IPCC,0,ecosystems,ecosystems,State of ecosystems (marine),Change in ecosystems
refugee population,IPBES_GA2.1_sup_25,IPBES,0,Knowledge systems,NA,Information on society and socio-economics,NA
regional deficit index,IPCC_12_72_695,IPCC,0,Human assets,NA,State of economy,NA
regional seas and action plans,GEO_14_15_152,GEO,0,Governance,NA,Nature-based legislation,NA
relative magnitude of fragmentation (rmf),GBF_GA_CY_28,GBF,1,ecosystems,NA,State of ecosystems (integrity),NA
relevant research funding,IPBES_GA_3_49_379,IPBES,0,Knowledge systems,NA,Information on society and socio-economics,NA
remaining primary vegetation,IPBES_GA_2.2_37_70;IPBES_GA2.2_sup_19,IPBES,0,ecosystems,NA,State of ecosystems (coverage),NA
remaining primary vegetation (hotspots),IPBES_GA2.2_sup_20,IPBES,0,ecosystems,NA,State of ecosystems (coverage),NA
remaining primary vegetation (indigenous lands),IPBES_GA_2.2_37_70;IPBES_GA2.2_sup_21,IPBES,0,ecosystems,Knowledge systems,State of ecosystems (coverage),ILK
remittance costs as a proportion of the amount remitted,SDG_G10.c.1_142,SDG,1,Human assets,NA,Income,State of economy
remnant ecosystems degrade,IPBES_GA_2.2_5_55,IPBES,0,Direct drivers,NA,Land conversion,NA
renewable electricity consumption (percentage of total electricity output),IPBES_GA2.1_sup_13,IPBES,0,Human assets,NA,Infrastructure (build-up area),NA
renewable energy share in the total final energy consumption,SDG_G7.2.1_96;IPBES_SUA_sup_7.2.1_40,SDG;IPBES,1,Human assets,Ecosystem services,Infrastructure (build-up area),Nature contribution
renewable internal freshwater resource,IPBES_GA2.1_sup_57,IPBES,0,Human assets,NA,Infrastructure (build-up area),Coverage of basic needs
reproduction rate,IPBES_GA_4_34_176,IPBES,0,biodiversity,NA,State of biodiversity,NA
reproductive success,IPBES_SUA_4_78_130;IPBES_SUA_4_89_132,IPBES,0,biodiversity,NA,State of biodiversity,NA
research and development expenditure as a proportion of gross domestic product,SDG_G9.5.1_124;IPBES_SUA_sup_9.5.1_66,SDG;IPBES,1,Knowledge systems,NA,Information on society and socio-economics,NA
researchers (in full-time equivalent) per million inhabitants,SDG_G9.5.2_125,SDG,1,Knowledge systems,NA,Information on society and socio-economics,NA
resilience of forest-dependent communities,IPBES_SUA_2_92_69,IPBES,0,Knowledge systems,Ecosystem services,Specific information on human-nature relationship,Specific mention of sustainable use of species/ecosystems
"resources mobilized from innovative sources of finance, including from the private sector",UNCCD_SO5.4_13,UNCCD,1,Governance,NA,Nature-based funding,NA
resources per capita invested in human settlement per km2,GEO_15_21_173,GEO,0,Human assets,NA,Infrastructure (build-up area),NA
resourcing of invasive alien species prevention and control activities,IPBES_IAS_6_14_142,IPBES,0,Direct drivers,Governance,Invasive alien species,Legislation/governance
retention and prevented emissions of air pollutants by ecosystems,IPBES_GA_2.3_42_143,IPBES,0,Ecosystem services,NA,Nature contribution,NA
retreat of ice sheet,IPCC_9_59_445,IPCC,0,ecosystems,NA,Change in ecosystems,NA
revenue from bioenergy production,IPBES_GA_2.3_42_143,IPBES,0,Human assets,Ecosystem services,State of economy,Nature contribution
revenue from forestry,IPBES_GA_2.3_42_143,IPBES,0,Ecosystem services,NA,Specific monetary valuation of nature contribution,NA
revenue generated and finance mobilized from biodiversity relevant economic instruments,SDG_G15.a.1.b_208;SDG_G15.b.1.b_210;IPBES_SUA_sup_15.a.1.b_134;IPBES_SUA_sup_15.b.1.b_136,SDG;IPBES,1,Governance,NA,Nature-based funding,NA
river fragmentation index,GBF_GA_CY_33,GBF,1,ecosystems,NA,State of ecosystems (integrity),State of ecosystems (freshwater/coastal)
road construction,GEO_6_8_49,GEO,0,Human assets,NA,Infrastructure (build-up area),NA
rooting depth,IPCC_12_17_599,IPCC,0,ecosystems,NA,Abiotic conditions,NA
rule of law index,IPBES_GA_5_104_261,IPBES,0,Governance,NA,Legislation/governance,NA
runoff,IPCC_2_26_47,IPCC,0,Direct drivers,NA,Pollution,NA
safe level of annual average pm exposure,GEO_5_19_45,GEO,0,Direct drivers,NA,Pollution,NA
salinity,IPCC_1_70_30;IPCC_2_26_47,IPCC,0,ecosystems,NA,Abiotic conditions,NA
sanitation and hygiene,GEO_20_7_232,GEO,0,Human well-being,NA,Healthy living conditions,NA
satellite formaldehyde (hcho) observations,IPCC_6_26_304,IPCC,0,Direct drivers,NA,Climate change,NA
satellite observations of precipitation,IPCC_2_51_79,IPCC,0,ecosystems,NA,Abiotic conditions,NA
sea ice extent,IPCC_1_70_30;IPCC_2_26_47,IPCC,0,ecosystems,NA,State of ecosystems,NA
sea ice thermodynamic,IPCC_3_45_183,IPCC,0,ecosystems,NA,State of ecosystems,NA
sea level,IPCC_2_26_47;GEO_2_26_7,IPCC;GEO,0,ecosystems,NA,State of ecosystems,NA
sea level change,IPCC_1_13_4,IPCC,0,ecosystems,NA,Change in ecosystems,NA
sea level pressure and winds,IPCC_2_26_47,IPCC,0,ecosystems,NA,Abiotic conditions,NA
sea level rise,GEO_4_13_34,GEO,0,Direct drivers,ecosystems,Climate change,State of ecosystems (marine)
sea surface air temperature,GEO_2_26_7,GEO,0,ecosystems,NA,Abiotic conditions,NA
sea surface temperature (sst),IPCC_2_86_146;IPCC_3_22_174;IPCC_3_84_211;IPCC_4_26_231;IPCC_7_67_343;IPCC_8_71_406;IPCC_8_88_422;IPCC_9_27_430;GEO_2_26_7,IPCC;GEO,0,ecosystems,NA,Abiotic conditions,NA
seafood availability due to ocean acidification,IPBES_GA_2.3_42_143,IPBES,0,Ecosystem services,Direct drivers,Nature contribution,Pollution
seafood produced (kcal),IPBES_GA_2.3_42_143,IPBES,0,Ecosystem services,NA,Nature contribution,NA
seagrass meadow area,IPBES_GA_2.2_37_70;IPBES_GA_2.2_38_74;IPBES_GA2.2_sup_22,IPBES,0,ecosystems,NA,State of ecosystems (freshwater/coastal),NA
seasonal cycle of co2,IPCC_2_26_47,IPCC,0,ecosystems,NA,Abiotic conditions,NA
seasonal variations in atmospheric co2 concentrations,IPCC_2_74_116,IPCC,0,ecosystems,NA,Abiotic conditions,NA
seasonality and thickness,IPCC_2_26_47,IPCC,0,ecosystems,NA,State of ecosystems,NA
sectoral emissions density,IPCC_6_63_319,IPCC,0,Direct drivers,NA,Climate change,NA
sediment cores,IPCC_2_63_105;IPCC_2_70_112,IPCC,0,ecosystems,NA,State of ecosystems,NA
sedimentary records,IPCC_10_56_492,IPCC,0,ecosystems,NA,Abiotic conditions,NA
september sea ice extent,IPCC_1_50_21,IPCC,0,ecosystems,NA,State of ecosystems,NA
services provided by ecosystems,GBF_GB_H_5;GBF_T11_H_32,GBF,1,Ecosystem services,NA,Nature contribution,NA
severe global bleaching events,IPBES_GA_2.2_91_124,IPBES,0,ecosystems,Direct drivers,Change in ecosystems,Climate change
sex-disaggregated burden-of-disease data,GEO_3_10_20,GEO,0,Human well-being,NA,Healthy living conditions,NA
sh monsoons,IPCC_2_51_80,IPCC,0,ecosystems,NA,Abiotic conditions,NA
share of low-carbon options,GEO_22_12_256,GEO,0,Knowledge systems,NA,Specific information on human-nature relationship,NA
share of main groups of species in fish trade in terms of value,IPBES_SUA_2_90_65,IPBES,0,Ecosystem services,NA,Specific monetary valuation of nature contribution,NA
"share of women among owners or rights-bearers of agricultural land, by type of tenure",GBF_T22_CY_258;GBF_T23_CY_266;SDG_G5.a.1.b_79;IPBES_SUA_sup_5.a.1.b_27,GBF;SDG;IPBES,1,Human well-being,NA,Equity,NA
sharing and trading institutions,IPBES_SUA_2_95_77,IPBES,0,Knowledge systems,NA,ILK,NA
ship calls,IPBES_IAS_2_5_11,IPBES,0,Human assets,NA,Infrastructure (build-up area),NA
shoreline change (indicator of coastal erosion),IPCC_12_60_671,IPCC,0,ecosystems,NA,State of ecosystems (freshwater/coastal),NA
shoreline retreat by mid- and end of century,IPCC_sup_53,IPCC,0,ecosystems,Direct drivers,State of ecosystems (freshwater/coastal),Climate change
shrinking of the arctic ice cover,GEO_2_26_7,GEO,0,ecosystems,NA,State of ecosystems,NA
simple daily intensity index (sdii),IPCC_11_50_537,IPCC,0,ecosystems,NA,Abiotic conditions,NA
simple precipitation intensity index,IPCC_sup_31,IPCC,0,ecosystems,NA,Abiotic conditions,NA
simulated global mean surface air temperature (gsat),IPCC_1_45_19,IPCC,0,ecosystems,NA,Abiotic conditions,NA
simulated global mean surface air temperature (gsat) anomalies,IPCC_1_45_19,IPCC,0,ecosystems,NA,Abiotic conditions,NA
sink rate,IPCC_5_19_272,IPCC,0,ecosystems,NA,Abiotic conditions,NA
slope instability,IPCC_2_63_102,IPCC,0,ecosystems,NA,Abiotic conditions,NA
smoking,GEO_21_17_251,GEO,0,Human well-being,NA,Healthy living conditions,NA
snow cover,IPCC_12_18_602,IPCC,0,ecosystems,ecosystems,Abiotic conditions,State of ecosystems
snow water equivalent at key seasonal dates,IPCC_12_19_604,IPCC,0,ecosystems,ecosystems,Abiotic conditions,State of ecosystems
snowfall,IPCC_8_28_371,IPCC,0,ecosystems,NA,Abiotic conditions,NA
so2 emissions,GEO_12_16_119,GEO,0,Direct drivers,NA,Pollution,NA
social progress index,IPBES_GA_2_25_34,IPBES,0,Knowledge systems,Human well-being,Information on society and socio-economics,Wellness
social welfare function (swf),IPBES_VA_3_96_97,IPBES,0,Knowledge systems,NA,Information on society and socio-economics,NA
societal behaviour,GEO_17_20_212;GEO_17_22_214,GEO,0,Knowledge systems,NA,Information on society and socio-economics,NA
soil carbon sequestration,GEO_15_18_165,GEO,0,Ecosystem services,NA,Nature contribution,NA
soil moisture,IPCC_8_33_375;IPCC_10_31_483;IPCC_12_17_601;IPCC_sup_48,IPCC,0,ecosystems,NA,Abiotic conditions,NA
soil moisture anomalies,IPCC_11_58_543;IPCC_sup_36,IPCC,0,ecosystems,NA,Abiotic conditions,NA
soil moisture deficits,IPCC_11_58_544,IPCC,0,ecosystems,NA,Abiotic conditions,NA
soil moisture-based drought events,IPCC_11_60_550,IPCC,0,ecosystems,NA,Abiotic conditions,NA
soil organic carbon,IPBES_GA_2.2_37_70;IPBES_GA_2.3_39_137;IPBES_GA2.2_sup_23;IPBES_GA2.2_sup_24,IPBES,0,ecosystems,NA,Abiotic conditions,NA
soil organic carbon (soc) stocks,GBF_T10_CY_194;GEO_20_8_234,GBF;GEO,1,ecosystems,Ecosystem services,Abiotic conditions,Nature contribution
soil quality impact on crop production,IPBES_GA_2.3_42_143,IPBES,0,ecosystems,NA,Abiotic conditions,NA
sounds associated with the forest,IPBES_SUA_2_97_80,IPBES,0,Knowledge systems,Human well-being,ILK,Recreation
south pacific convergence zone (spcz),IPCC_8_39_378,IPCC,0,ecosystems,NA,Abiotic conditions,NA
southern annular mode (sam) index,IPCC_2_85_141,IPCC,0,ecosystems,NA,Abiotic conditions,NA
southern oscillation index (soi),IPCC_2_86_146,IPCC,0,ecosystems,NA,Abiotic conditions,NA
spatial densities of relational values in an area,IPBES_VA_2_38_28,IPBES,0,ecosystems,NA,State of ecosystems (coverage),NA
spatial distribution of species,IPBES_GA_2.3_40_140;IPBES_SUA_2_96_79,IPBES,0,Knowledge systems,biodiversity,ILK,State of biodiversity
spatiotemporal variability of meteorological parameters,IPCC_10_24_481,IPCC,0,ecosystems,NA,Abiotic conditions,NA
spawning stock biomass (related to commercially exploited species),GBF_T9_CY_190,GBF,1,Ecosystem services,biodiversity,Nature contribution,State of biodiversity
species abundance,GEO_6_16_54,GEO,0,biodiversity,NA,State of biodiversity,NA
species area relationship,IPBES_GA_5_34_243,IPBES,0,biodiversity,NA,State of biodiversity,NA
species condition index,IPBES_IAS_4_64_104,IPBES,0,biodiversity,NA,State of biodiversity,NA
species dispersal ability,GEO_21_11_248,GEO,0,biodiversity,NA,State of biodiversity,NA
species distribution area and shift,IPBES_GA_4_34_176,IPBES,0,biodiversity,biodiversity,State of biodiversity,Change in biodiversity
species growth rate,IPBES_IAS_4_64_104,IPBES,0,biodiversity,NA,State of biodiversity,NA
species habitat index,GBF_GA_C_3;GBF_T2_CY_130;IPBES_GA_1_52_19;IPBES_GA_1_52_19;IPBES_GA_2.2_37_70;IPBES_GA_3_54_387;IPBES_GA2.2_sup_68,GBF;IPBES,1,biodiversity,NA,State of biodiversity,NA
species negatively impacting biodiversity,IPBES_IAS_6_56_150,IPBES,0,Knowledge systems,biodiversity,Information on biodiversity,Change in biodiversity
species occurrence records accessible through the global biodiversity information facility,GBF_T21_CY_249;IPBES_GA_1_52_19;IPBES_GA3_sup_64,GBF;IPBES,1,Knowledge systems,NA,Information on biodiversity,NA
species protection index,GBF_T3_C_24;GBF_GA_CY_39;GBF_T3_CY_143;IPBES_GA_1_52_19,GBF;IPBES,1,biodiversity,NA,Species conservation,NA
species represented in the barcode of life data system,IPBES_GA_1_52_19,IPBES,0,biodiversity,NA,Genetic resources,NA
species richness,IPBES_GA_4_34_176;IPBES_IAS_3_84_95,IPBES,0,biodiversity,NA,State of biodiversity,NA
species richness per grid cell,IPBES_GA_2.2_37_70;IPBES_GA_2.2_47_90;IPBES_GA2.2_sup_53,IPBES,0,biodiversity,NA,State of biodiversity,NA
species status index,GBF_T21_C_66;GBF_GA_CY_50;GBF_T21_CY_254;IPBES_GA_1_52_19;IPBES_GA3_sup_61,GBF;IPBES,1,biodiversity,NA,State of biodiversity,NA
species threat abatement and restoration metric,GBF_T4_CY_147;GBF_T15_CY_214,GBF,1,biodiversity,NA,Species conservation,NA
