indicator_orig,indic_id,indicator_harmonized
Number of CMS daughter agreements,GBF_T4_CY_150,number of cms daughter agreements
Proportion of local breeds classified as being at risk extinction,GBF_T4_CY_151,proportion of local breeds classified as being at risk of extinction
Red List Index (wild relatives of domesticated animals),GBF_T4_CY_152,red list index (wild relatives of farmed and domesticated species)
Rate of invasive alien species establishment,GBF_T4_CY_153,rate of invasive alien species establishment
Sustainable watershed and inland fisheries index,GBF_T5_CY_154,sustainable watershed and inland fisheries index
Red List Index (for internationally traded species and for migratory species),GBF_T5_CY_155,red list index (internationally traded species and migratory species)
Marine Stewardship Council Fish catch,GBF_T5_CY_156,marine stewardship council certified catch
Total catch of cetaceans under International Convention for the Regulation of Whaling,GBF_T5_CY_157,total catch of cetaceans under international convention for the regulation of whaling
By catch of vulnerable and non-target species,GBF_T5_CY_158,by catch of vulnerable and non-target species
"Degree of implementation of international instruments aiming to combat illegal, unreported and unregulated fishing",GBF_T5_CY_159,"degree of implementation of international instruments aiming to combat illegal, unreported and unregulated fishing"
Proportion of legal and illegal wildlife trade consisting of species threatened with extinction,GBF_T5_CY_160,proportion of legal and illegal wildlife trade consisting of species threatened with extinction
Illegal trade by CITES species classification,GBF_T5_CY_161,illegal trade by cites species classification
Number of countries incorporating trade in their national biodiversity policy,GBF_T5_CY_162,number of countries incorporating trade in their national biodiversity policy
"Proportion of terrestrial, freshwater and marine ecological regions which are conserved by protected areas or other effective area-based conservation measures",GBF_T5_CY_163,"proportion of terrestrial, freshwater and marine ecological regions which are conserved by protected areas or other effective area-based conservation measures"
Implementation of measures designed to minimize the impacts of fisheries and hunting on migratory species and their habitats,GBF_T5_CY_164,implementation of measures designed to minimize the impacts of fisheries and hunting on migratory species and their habitats
Number of MSC Chain of Custody Certification holders by distribution country,GBF_T5_CY_165,number of msc chain of custody certification holders by distribution country
Trends of trade and commercialization in biodiversity-based products that is sustainable and legal (in line with BioTrade Principles and/or CITES requirements),GBF_T5_CY_166,trends of trade and commercialization in biodiversity-based products that is sustainable and legal (in line with biotrade principles and/or cites requirements)
Number of invasive alien species in national lists as per the Global Register of Introduced and Invasive Species,GBF_T6_CY_167,number of invasive alien species in national lists as per the global register of introduced and invasive species
"Trends in abundance, temporal occurrence, and spatial distribution of non-indigenous species, particularly invasive, non-indigenous species, notably in risk areas (in relation to the main vectors and pathways of spreading of such species)",GBF_T6_CY_168,"trends in abundance, temporal occurrence, and spatial distribution of non-indigenous species, particularly invasive, non-indigenous species, notably in risk areas (in relation to the main vectors and pathways of spreading of such species)"
Red List Index (impacts of invasive alien species),GBF_T6_CY_169,red list index (impacts of invasive alien species)
Trends in Loss of Reactive Nitrogen to the Environment.,GBF_T7_CY_170,trends in loss of reactive nitrogen to the environment
Trends in Nitrogen Deposition,GBF_T7_CY_171,trends in nitrogen deposition
Municipal solid waste collected and managed,GBF_T7_CY_172,municipal solid waste collected and managed
Hazardous waste generation,GBF_T7_CY_173,hazardous waste
Trends in the amount of litter in the water column including microplastics and on the seafloor,GBF_T7_CY_174,trends in the amount of litter in the water column including microplastics and on the seafloor
Index of coastal eutrophication (icep),GBF_T7_CY_175,index of coastal eutrophication potential (icep)
plastic debris density,GBF_T7_CY_176,plastic debris density
Red List of Ecosystems,GBF_T7_CY_177,red list of ecosystems
Underwater noise pollution,GBF_T7_CY_178,underwater noise pollution
"Name, amount/ volume/ concentration of highly hazardous pesticides by type (per land/marine area)",GBF_T7_CY_179,"name, amount/ volume/ concentration of highly hazardous pesticides by type (per land/marine area)"
Pesticide use per area of cropland,GBF_T7_CY_180,pesticide use per area of cropland
Above-ground biomass stock in forest (tonnes/ha),GBF_T8_CY_181,above-ground biomass in forests
National greenhouse inventories from land use and land use change,GBF_T8_CY_182,national greenhouse inventories from land use and land use change
Proportion of local governments that adopt and implement local disaster risk reduction strategies in line with national disaster risk reduction strategies,GBF_T8_CY_183,proportion of local governments that adopt and implement local disaster risk reduction strategies in line with national disaster risk reduction strategies
"Number of least developed countries and small island developing States with nationally determined contributions, long-term strategies, national adaptation plans, strategies as reported in adaptation communications and national communications",GBF_T8_CY_184,"number of least developed countries and small island developing states with nationally determined contributions, long-term strategies, national adaptation plans and adaptation communications, as reported to the secretariat of the united nations framework convention on climate change"
Index of coastal eutrophication,GBF_T8_CY_185,index of coastal eutrophication potential (icep)
"Carbon stocks and annual net GHG emissions, by landuse category, split by natural and non-natural land cover",GBF_T8_CY_186,"carbon stocks and annual net ghg emissions, by landuse category, split by natural and non-natural land cover"
