odd,indicator_harmonized,indic_ids,sources,policy,Categories,Subcategories,Categories_2,Subcategories_2,sources_old
,reproductive success,SUA_4_78_130;SUA_4_89_132,IPBES,0,biodiversity,State of biodiversity,NA,NA,IPBES
,research and development expenditure as a proportion of gross domestic product,SDG_G9.5.1_124;IPBES_SUA_sup_9.5.1_66,SDG;IPBES,1,Knowledge systems,Information on society and socio-economics,NA,NA,IPBES;SDG
,researchers (in full-time equivalent) per million inhabitants,SDG_G9.5.2_125,SDG,1,Knowledge systems,Information on society and socio-economics,NA,NA,SDG
,resilience of forest-dependent communities,SUA_2_92_69,IPBES,0,Knowledge systems,Specific information on human-nature relationship,NA,NA,IPBES
,resins (kg),IPBES_GA2.3_sup_189,IPBES,0,Ecosystem services,Nature contribution,NA,NA,IPBES
,"resources mobilized from innovative sources of finance, including from the private sector",UNCCD_SO5.4_13,UNCCD,1,Governance,Nature-based funding,,,
,resources per capita invested in human settlement per km2,GEO_15_21_173,GEO,0,Human assets,Infrastructure (build-up area),NA,NA,GEO
,resourcing of invasive alien species prevention and control activities,IAS_6_14_142,IPBES,0,Direct drivers,Invasive alien species,Governance,Legislation/governance,IPBES
,retention and prevented emissions of air pollutants by ecosystems,GA_2.3_42_143;IPBES_GA2.3_sup_20,IPBES,0,Ecosystem services,Nature contribution,NA,NA,IPBES
,retention over time of indigenous ecological knowledge and practices,GA_2_25_33,IPBES,0,Knowledge systems,Specific information on ILK and IPLC,NA,NA,IPBES
,retreat of ice sheet,IPCC_9_59_445,IPCC,0,ecosystems,Change in ecosystems,NA,NA,IPCC
,revenue from bioenergy production,GA_2.3_42_143;IPBES_GA2.3_sup_142,IPBES,0,Human assets,State of economy,Ecosystem services,Nature contribution,IPBES
,revenue from forestry,GA_2.3_42_143,IPBES,0,Ecosystem services,Specific monetary valuation of nature contribution,NA,NA,IPBES
,revenue generated and finance mobilized from biodiversity relevant economic instruments,SDG_G15.a.1.b_208;SDG_G15.b.1.b_210;IPBES_SUA_sup_15.a.1.b_134;IPBES_SUA_sup_15.b.1.b_136,SDG;IPBES,1,Governance,Nature-based funding,,,
x,revenue generated and finance mobilized from biodiversity-relevant economic instruments,NA,NA,NA,Governance,Nature-based legislation,NA,NA,IPBES;SDG
,river fragmentation index,GBF_GA_CY_33,GBF,1,ecosystems,State of ecosystems (integrity),NA,State of ecosystems (freshwater/coastal),GBF
,road construction,GEO_6_8_49,GEO,0,Human assets,Infrastructure (build-up area),NA,NA,GEO
,rooting depth,IPCC_12_17_599,IPCC,0,ecosystems,Abiotic conditions,NA,NA,IPCC
,rule of law index,GA_5_104_261,IPBES,0,Governance,Legislation/governance,NA,NA,IPBES
,runoff,IPCC_2_26_47,IPCC,0,Direct drivers,Pollution,NA,NA,IPCC
,safe level of annual average pm exposure,GEO_5_19_45,GEO,0,Direct drivers,Pollution,NA,NA,GEO
,salinity,IPCC_1_70_30;IPCC_2_26_47,IPCC,0,ecosystems,Abiotic conditions,NA,NA,IPCC
,saltmarsh distribution and abundance,IPBES_GA2.3_sup_84,IPBES,0,ecosystems,State of ecosystems,NA,NA,IPBES
,sanitation and hygiene,GEO_20_7_232,GEO,0,Human well-being,Healthy living conditions,NA,NA,GEO
,satellite formaldehyde (hcho) observations,IPCC_6_26_304,IPCC,0,Direct drivers,Climate change,NA,NA,IPCC
,satellite observations of precipitation,IPCC_2_51_79,IPCC,0,ecosystems,Abiotic conditions,NA,NA,IPCC
,sea ice extent,IPCC_1_70_30;IPCC_2_26_47,IPCC,0,ecosystems,State of ecosystems,NA,NA,IPCC
,sea ice thermodynamic,IPCC_3_45_183,IPCC,0,ecosystems,State of ecosystems,NA,NA,IPCC
,sea level,IPCC_2_26_47;GEO_2_26_7,IPCC;GEO,0,ecosystems,State of ecosystems,NA,NA,GEO;IPCC
,sea level change,IPCC_1_13_4,IPCC,0,ecosystems,Change in ecosystems,NA,NA,IPCC
,sea level pressure and winds,IPCC_2_26_47,IPCC,0,ecosystems,Abiotic conditions,NA,NA,IPCC
,sea level rise,GEO_4_13_34,GEO,0,Direct drivers,Climate change,ecosystems,State of ecosystems (marine),GEO
,seafood availability due to ocean acidification,GA_2.3_42_143,IPBES,0,Ecosystem services,Nature contribution,Direct drivers,Pollution,IPBES
,seafood produced (kcal),GA_2.3_42_143,IPBES,0,Ecosystem services,Nature contribution,NA,NA,IPBES
,seagrass meadow area,GA_2.2_37_70;GA_2.2_38_74;IPBES_GA2.2_sup_22,IPBES,0,ecosystems,State of ecosystems (freshwater/coastal),NA,NA,IPBES
,seasonal cycle of co2,IPCC_2_26_47,IPCC,0,ecosystems,Abiotic conditions,NA,NA,IPCC
,seasonal variations in atmospheric co2 concentrations,IPCC_2_74_116,IPCC,0,ecosystems,Abiotic conditions,NA,NA,IPCC
,seasonality and thickness,IPCC_2_26_47,IPCC,0,ecosystems,State of ecosystems,NA,NA,IPCC
,sectoral emissions density,IPCC_6_63_319,IPCC,0,Direct drivers,Climate change,NA,NA,IPCC
,sediment cores,IPCC_2_63_105;IPCC_2_70_112,IPCC,0,ecosystems,State of ecosystems,NA,NA,IPCC
,sedimentary records,IPCC_10_56_492,IPCC,0,Knowledge systems,Specific information on human-nature relationship,ecosystems,Abiotic conditions,IPCC
,september sea ice extent,IPCC_1_50_21,IPCC,0,ecosystems,State of ecosystems,NA,NA,IPCC
,services provided by ecosystems,GBF_GB_H_5;GBF_T11_H_32,GBF,1,Ecosystem services,Nature contribution,NA,NA,GBF
,severe global bleaching events,GA_2.2_91_124,IPBES,0,ecosystems,Change in ecosystems,Direct drivers,Climate change,IPBES
,sex-disaggregated burden-of-disease data,GEO_3_10_20,GEO,0,Human well-being,Healthy living conditions,NA,NA,GEO
,sh monsoons,IPCC_2_51_80,IPCC,0,ecosystems,Abiotic conditions,NA,NA,IPCC
,share of low-carbon options,GEO_22_12_256,GEO,0,Human assets,Information on society and socio-economics,NA,NA,GEO
,share of main groups of species in fish trade in terms of value,SUA_2_90_65,IPBES,0,Ecosystem services,Specific monetary valuation of nature contribution,NA,NA,IPBES
,"share of women among owners or rights-bearers of agricultural land, by type of tenure",SDG_G5.a.1.b_79;IPBES_SUA_sup_5.a.1.b_27,SDG;IPBES,1,Human well-being,Equity,NA,NA,IPBES;GBF;SDG
,sharing and trading institutions,SUA_2_95_77,IPBES,0,Ecosystem services,Nature contribution,NA,NA,IPBES
,shell sold units (number/year),IPBES_GA2.3_sup_205,IPBES,0,Ecosystem services,Nature contribution,NA,NA,IPBES
,ship calls,IAS_2_5_11,IPBES,0,Human assets,Infrastructure (build-up area),NA,NA,IPBES
,shoreline change (indicator of coastal erosion),IPCC_12_60_671,IPCC,0,ecosystems,State of ecosystems (freshwater/coastal),NA,NA,IPCC
,shoreline retreat by mid- and end of century,IPCC_sup_53,IPCC,0,ecosystems,State of ecosystems (freshwater/coastal),Direct drivers,Climate change,
,shrinking of the arctic ice cover,GEO_2_26_7,GEO,0,ecosystems,State of ecosystems,NA,NA,GEO
,silk cocoons (t/hear),IPBES_GA2.3_sup_202,IPBES,0,Ecosystem services,Nature contribution,NA,NA,IPBES
,simple daily intensity index (sdii),IPCC_11_50_537,IPCC,0,ecosystems,Abiotic conditions,NA,NA,IPCC
,simple precipitation intensity index,IPCC_sup_31,IPCC,0,ecosystems,Abiotic conditions,NA,NA,IPCC
,simulated global mean surface air temperature (gsat),IPCC_1_45_19,IPCC,0,ecosystems,Abiotic conditions,NA,NA,IPCC
,simulated global mean surface air temperature (gsat) anomalies,IPCC_1_45_19,IPCC,0,ecosystems,Abiotic conditions,NA,NA,IPCC
,sink rate,IPCC_5_19_272,IPCC,0,ecosystems,Abiotic conditions,NA,NA,IPCC
,sisal yields (t/ha/year),IPBES_GA2.3_sup_200,IPBES,0,Ecosystem services,Nature contribution,NA,NA,IPBES
,slope instability,IPCC_2_63_102,IPCC,0,ecosystems,Abiotic conditions,NA,NA,IPCC
,smoking,GEO_21_17_251,GEO,0,Human well-being,Healthy living conditions,NA,NA,GEO
,snow cover,IPCC_12_18_602,IPCC,0,ecosystems,Abiotic conditions,ecosystems,State of ecosystems,IPCC
,snow water equivalent at key seasonal dates,IPCC_12_19_604,IPCC,0,ecosystems,Abiotic conditions,ecosystems,State of ecosystems,IPCC
,snowfall,IPCC_8_28_371,IPCC,0,ecosystems,Abiotic conditions,NA,NA,IPCC
,so2 emissions,GEO_12_16_119,GEO,0,Direct drivers,Pollution,NA,NA,GEO
,social progress index,GA_2_25_34,IPBES,0,Knowledge systems,Information on society and socio-economics,Human well-being,Wellness,IPBES
,social welfare function (swf),VA_3_96_97,IPBES,0,Knowledge systems,Information on society and socio-economics,NA,NA,IPBES
,societal behaviour,GEO_17_20_212;GEO_17_22_214,GEO,0,Knowledge systems,Information on society and socio-economics,NA,NA,GEO
,soil biodiversity,IPBES_GA2.3_sup_79,IPBES,0,biodiversity,State of biodiversity,NA,NA,IPBES
,soil carbon sequestration,GEO_15_18_165,GEO,0,Ecosystem services,Nature contribution,NA,NA,GEO
,soil degradation impact on crop productivity,IPBES_GA2.3_sup_81,IPBES,0,Direct drivers,Natural drivers,NA,NA,IPBES
,soil depth,IPBES_GA2.3_sup_77,IPBES,0,ecosystems,Abiotic conditions,NA,NA,IPBES
,soil moisture,IPCC_8_33_375;IPCC_10_31_483;IPCC_12_17_601,IPCC,0,ecosystems,Abiotic conditions,NA,NA,IPCC
x,soil moisture (sm),IPCC_sup_48,IPCC,0,,,,,
,soil moisture anomalies,IPCC_11_58_543;IPCC_sup_36,IPCC,0,ecosystems,Abiotic conditions,NA,NA,IPCC
,soil moisture deficits,IPCC_11_58_544,IPCC,0,ecosystems,Abiotic conditions,NA,NA,IPCC
,soil moisture-based drought events,IPCC_11_60_550,IPCC,0,ecosystems,Abiotic conditions,NA,NA,IPCC
,soil organic carbon,GA_2.2_37_70;GA_2.3_39_137;IPBES_GA2.2_sup_23;IPBES_GA2.2_sup_24;IPBES_GA2.3_sup_35,IPBES,0,ecosystems,Abiotic conditions,NA,NA,IPBES
,soil organic carbon (correlative model),NA,NA,NA,ecosystems,Abiotic conditions,NA,NA,IPBES
,soil organic carbon (mechanistic models),NA,NA,NA,ecosystems,Abiotic conditions,NA,NA,IPBES
,soil organic carbon (soc) stocks,GBF_T10_CY_192;GEO_20_8_234,GBF;GEO,1,ecosystems,Abiotic conditions,Ecosystem services,Nature contribution,GEO;GBF;UNCCD
,soil quality,IPBES_GA2.3_sup_80,IPBES,0,ecosystems,State of ecosystems,NA,NA,IPBES
,soil quality impact on crop production,GA_2.3_42_143,IPBES,0,ecosystems,Abiotic conditions,NA,NA,IPBES
,sounds associated with the forest,SUA_2_97_80,IPBES,0,Human well-being,Recreation,NA,NA,IPBES
,south pacific convergence zone (spcz),IPCC_8_39_378,IPCC,0,ecosystems,Abiotic conditions,NA,NA,IPCC
,southern annular mode (sam) index,IPCC_2_85_141,IPCC,0,ecosystems,Abiotic conditions,NA,NA,IPCC
,southern oscillation index (soi),IPCC_2_86_146,IPCC,0,ecosystems,Abiotic conditions,NA,NA,IPCC
,spatial densities of relational values in an area,VA_2_38_28,IPBES,0,ecosystems,State of ecosystems (coverage),NA,NA,IPBES
,spatial distribution,GA_2.3_40_140,IPBES,0,biodiversity,State of biodiversity,NA,NA,IPBES
,spatial distribution of species,SUA_2_96_79,IPBES,0,biodiversity,State of biodiversity,NA,NA,IPBES
,spatiotemporal variability of meteorological parameters,IPCC_10_24_481,IPCC,0,ecosystems,Abiotic conditions,NA,NA,IPCC
,spawning stock biomass (related to commercially exploited species),GBF_T9_CY_188,GBF,1,Ecosystem services,Nature contribution,biodiversity,State of biodiversity,GBF
,species abundance,GEO_6_16_54,GEO,0,biodiversity,State of biodiversity,NA,NA,GEO
,species abundance distribution,IPBES_GA2.3_sup_275,IPBES,0,biodiversity,State of biodiversity,NA,NA,IPBES
,species area relationship,GA_5_34_243,IPBES,0,biodiversity,State of biodiversity,NA,NA,IPBES
,species dispersal ability,GEO_21_11_248,GEO,0,biodiversity,State of biodiversity,NA,NA,GEO
,species distribution area and shift,GA_4_34_176,IPBES,0,biodiversity,State of biodiversity,biodiversity,Change in biodiversity,IPBES
,species habitat index,GBF_GA_C_3;GBF_T2_CY_129;GA_1_52_19;GA_1_52_19;GA_2.2_37_70;GA_3_54_387;IPBES_GA2.2_sup_68,GBF;IPBES,1,biodiversity,State of biodiversity,NA,NA,IPBES;GBF
,species negatively impacting biodiversity,IAS_6_56_150,IPBES,0,Knowledge systems,Information on biodiversity,biodiversity,Change in biodiversity,IPBES
,species occurrence records accessible through the global biodiversity information facility,GBF_T21_CY_247;GA_1_52_19;IPBES_GA3_sup_64,GBF;IPBES,1,Knowledge systems,Information on biodiversity,NA,NA,IPBES;GBF
,species protection index,GBF_T3_C_24;GBF_GA_CY_39;GBF_T3_CY_142;GA_1_52_19,GBF;IPBES,1,biodiversity,Species conservation,NA,NA,IPBES;GBF
,species represented in the barcode of life data system,GA_1_52_19,IPBES,0,biodiversity,Genetic resources,NA,NA,IPBES
,species richness,GA_4_34_176;IAS_3_84_95;IPBES_GA2.3_sup_110;IPBES_GA2.3_sup_146;IPBES_GA2.3_sup_228,IPBES,0,biodiversity,State of biodiversity,NA,NA,IPBES;GBF
,species richness per grid cell,GA_2.2_37_70;GA_2.2_47_90;IPBES_GA2.2_sup_53,IPBES,0,biodiversity,State of biodiversity,NA,NA,IPBES
x,species richness/local species richness (predicts),GBF_GA_CY_43,GBF,1,,,,,
,species status index,GBF_T21_C_66;GBF_GA_CY_50;GBF_T21_CY_252;GA_1_52_19;IPBES_GA3_sup_61,GBF;IPBES,1,biodiversity,State of biodiversity,NA,NA,IPBES;GBF
,species threat abatement and restoration metric,GBF_T4_CY_146;GBF_T15_CY_212,GBF,1,biodiversity,Species conservation,NA,NA,GBF
,species used for medicine,GA_2.3_22_127,IPBES,0,Knowledge systems,ILK,NA,NA,IPBES
,species with data included in the global biodiversity information facility,GA_3_49_379,IPBES,0,Knowledge systems,Information on biodiversity,NA,NA,IPBES
,specific humidity,GEO_2_26_7,GEO,0,ecosystems,Abiotic conditions,NA,NA,GEO
,speleothem records,IPCC_2_62_100,IPCC,0,ecosystems,State of ecosystems,NA,NA,IPCC
,speleotherm records,IPCC_9_71_451,IPCC,0,ecosystems,Abiotic conditions,NA,NA,IPCC
,spread of alien species by pathway,IAS_6_97_160,IPBES,0,Direct drivers,Invasive alien species,NA,NA,IPBES
,stability of land use and land cover,GA_2.3_42_143,IPBES,0,ecosystems,State of ecosystems (coverage),NA,NA,IPBES
,standardized groundwater index (sgi),IPCC_11_58_543,IPCC,0,ecosystems,Abiotic conditions,NA,NA,IPCC
,standardized precipitation evapotranspiration index (spei),IPCC_11_58_543;IPCC_11_60_549;IPCC_12_17_601;IPCC_12_85_726;IPCC_sup_41,IPCC,0,ecosystems,Abiotic conditions,NA,NA,IPCC
,standardized precipitation index,IPCC_11_60_550;IPCC_12_17_601;IPCC_12_57_665;IPCC_12_57_666;IPCC_sup_34,IPCC,0,ecosystems,Abiotic conditions,NA,NA,IPCC
,standardized precipitation index (spi),IPCC_11_58_543,IPCC,0,ecosystems,Abiotic conditions,NA,NA,IPCC
,standardized precipitation index accumulated over 6 months (spi-6),IPCC_sup_49,IPCC,0,ecosystems,Abiotic conditions,,,
,standardized runoff index,IPCC_11_94_580;IPCC_12_17_601;IPCC_sup_38,IPCC,0,ecosystems,Abiotic conditions,NA,NA,IPCC
,standardized runoff index (sri),IPCC_11_58_543,IPCC,0,ecosystems,Abiotic conditions,NA,NA,IPCC
,standardized soil moisture index,IPCC_sup_37,IPCC,0,ecosystems,Abiotic conditions,NA,NA,IPCC
,standardized soil moisture index (ssmi),IPCC_11_58_543,IPCC,0,ecosystems,Abiotic conditions,NA,NA,IPCC
,standardized streamflow index,IPCC_sup_39,IPCC,0,ecosystems,Abiotic conditions,NA,NA,IPCC
,standardized streamflow index (ssi),IPCC_11_58_543,IPCC,0,ecosystems,Abiotic conditions,NA,NA,IPCC
,statistical capacity indicator for sustainable development goal monitoring,IPBES_SUA_sup_17.18.1_154;SDG_G17.18.1_255,IPBES;SDG,1,Governance,National/international cooperation,Knowledge systems,Information on society and socio-economics,IPBES;SDG
x,statistical capacity indicators,,SDG,1,,,,,
,status and trends in wetland ecosystem extent,NA,NA,NA,ecosystems,State of ecosystems (freshwater/coastal),NA,NA,RAMSAR
,status of an individual or species as native or alien,IAS_6_114_165,IPBES,0,Direct drivers,Invasive alien species,NA,NA,IPBES
,status of assessed fish stocks,IPBES_GA2.3_sup_163,IPBES,0,Knowledge systems,Information on biodiversity,NA,NA,IPBES
,status of key biodiversity areas,GBF_T2_CY_124;GBF_T3_CY_131,GBF,1,biodiversity,State of biodiversity,NA,NA,GBF
,status of migratory species in trade,CMS_G2.5_7,CMS,1,Knowledge systems,Information on biodiversity,Ecosystem services,Specific monetary valuation of nature contribution,CMS
,stock status,GEO_14_16_156,GEO,0,Ecosystem services,Nature contribution,NA,NA,GEO
,stock values of natural capital,VA_2_38_28,IPBES,0,Ecosystem services,Specific monetary valuation of nature contribution,NA,NA,IPBES
,stranded debris,GEO_14_15_154,GEO,0,Direct drivers,Pollution,NA,NA,GEO
,strategies of relevance to migratory species developed and implemented for minimizing genetic erosion,CMS_G4.12_21,CMS,1,Governance,Nature-based legislation,biodiversity,Genetic diversity,
,strength of people’s connection to the forest,SUA_2_97_80,IPBES,0,Knowledge systems,Specific information on human-nature relationship,NA,NA,IPBES
,strom tracks and jets,IPCC_2_26_47,IPCC,0,Human assets,Infrastructure (build-up area),NA,NA,IPCC
,structural and functional connectivity of habitat,VA_2_38_28,IPBES,0,ecosystems,State of ecosystems (integrity),NA,NA,IPBES
,subsurface borehole temperature profiles,IPCC_2_31_65,IPCC,0,ecosystems,Abiotic conditions,NA,NA,IPCC
,sudden stratospheric warmings,IPCC_2_26_47,IPCC,0,ecosystems,Abiotic conditions,NA,NA,IPCC
,suicide mortality rate,SDG_G3.4.2_38,SDG,1,Human well-being,Wellness,NA,NA,SDG
,sulphate in precipitation,IPCC_6_30_309,IPCC,0,Direct drivers,Climate change,NA,NA,IPCC
,summer arctic sea ice extent,GEO_2_26_7,GEO,0,ecosystems,State of ecosystems,NA,NA,GEO
,"supply of fiber crops, resins, gum arabic",IPBES_GA2.3_sup_213,IPBES,0,Ecosystem services,Nature contribution,NA,NA,IPBES
,surface albedo,IPCC_10_31_483,IPCC,0,ecosystems,Abiotic conditions,NA,NA,IPCC
,surface and upper air temperatures,IPCC_2_26_47,IPCC,0,ecosystems,Abiotic conditions,NA,NA,IPCC
,surface humidity,IPCC_2_26_47,IPCC,0,ecosystems,Abiotic conditions,NA,NA,IPCC
,surface moisture flux convergence,IPCC_8_46_393,IPCC,0,ecosystems,Abiotic conditions,NA,NA,IPCC
,surface soil moisture,IPCC_11_60_550,IPCC,0,ecosystems,Abiotic conditions,NA,NA,IPCC
,surface turbulent fluxes,IPCC_7_17_328,IPCC,0,ecosystems,Abiotic conditions,NA,NA,IPCC
,surface warming,IPCC_6_56_315,IPCC,0,Direct drivers,Climate change,NA,NA,IPCC
,suspended organic carbon,IPBES_GA2.3_sup_69,IPBES,0,ecosystems,Abiotic conditions,NA,NA,IPBES
,sustainability and nutrient efficiency of national dietary outcomes,GEO_17_11_203,GEO,0,Ecosystem services,Nature contribution,NA,NA,GEO
,sustainability and/or environmental themes as one of the general goals of education,GEO_4_9_33,GEO,0,Knowledge systems,Specific information on human-nature relationship,NA,NA,GEO
,sustainability dashboard,VA_2_8_10,IPBES,0,Ecosystem services,Specific mention of sustainable use of species/ecosystems,NA,NA,IPBES
,sustainable development goals (sdg) index,GA_4_147_220,IPBES,0,Governance,Nature-based legislation,NA,NA,IPBES
,sustainable development goals index,VA_2_38_29,IPBES,0,Governance,Legislation/governance,NA,NA,IPBES
,sustainable development index (sdi),VA_5_78_136,IPBES,0,Knowledge systems,Specific information on human-nature relationship,NA,NA,IPBES
,sustainable economic welfare (isew),VA_5_78_136,IPBES,0,Human assets,State of economy,NA,NA,IPBES
,"sustainable fisheries as a proportion of gross domestic product in small island developing states, least developed countries and all countries",SDG_G14.7.1_190;IPBES_SUA_sup_14.7.1_117,SDG;IPBES,1,Ecosystem services,Specific monetary valuation of nature contribution,Governance,Nature-based legislation,IPBES;SDG
,sustainable fishing practices,GEO_17_8_200,GEO,0,Ecosystem services,Specific mention of sustainable use of species/ecosystems,NA,NA,GEO
,sustainable resource management,GEO_17_20_212,GEO,0,Ecosystem services,Specific mention of sustainable use of species/ecosystems,NA,NA,GEO
,sustainable use of wild species,GBF_T5_C_32,GBF,1,Ecosystem services,Specific mention of sustainable use of species/ecosystems,NA,NA,GBF
,sustainable watershed and inland fisheries index,GBF_T5_CY_153,GBF,1,Ecosystem services,Specific mention of sustainable use of species/ecosystems,NA,NA,GBF
,sustainable well-being index (swi),VA_2_38_29,IPBES,0,Ecosystem services,Specific mention of sustainable use of species/ecosystems,NA,NA,IPBES
,tannins (kg),IPBES_GA2.3_sup_193,IPBES,0,Ecosystem services,Nature contribution,NA,NA,IPBES
,taxa assessed for the red list index,GA_3_49_379,IPBES,0,Knowledge systems,Information on biodiversity,NA,NA,IPBES
,taxonomic diversity and distinctness,IPBES_GA2.3_sup_271,IPBES,0,biodiversity,State of biodiversity,NA,NA,IPBES
,temperature,IAS_2_5_11;IPCC_2_28_57;IPCC_10_77_504,IPBES;IPCC,0,ecosystems,Abiotic conditions,NA,NA,IPBES;IPCC
,temporal species turnover,GA_1_52_19,IPBES,0,biodiversity,Change in biodiversity,NA,NA,IPBES
,terrestrial c sequestration,GA_2.2_37_70;IPBES_GA2.2_sup_34,IPBES,0,Ecosystem services,Nature contribution,NA,NA,IPBES
,terrestrial c sequestration (model ensemble),NA,NA,NA,Ecosystem services,Nature contribution,NA,NA,IPBES
,terrestrial net primary production,GA_2.2_37_70;GA_2.2_42_82;GA_2.3_39_137;IPBES_GA2.2_sup_35;IPBES_GA2.2_sup_36,IPBES,0,Ecosystem services,Nature contribution,NA,NA,IPBES
,terrestrial net primary production (model ensemble),NA,NA,NA,Ecosystem services,Nature contribution,NA,NA,IPBES
,terrestrial net primary production (remote-sensing),NA,NA,NA,Ecosystem services,Nature contribution,NA,NA,IPBES
,terrestrial permafrost temperature and active layer thickness,IPCC_2_26_47,IPCC,0,ecosystems,Abiotic conditions,ecosystems,State of ecosystems,IPCC
,terrestrial snow cover,IPCC_2_26_47,IPCC,0,ecosystems,State of ecosystems,NA,NA,IPCC
,terrestrial vegetation biomass,GA_2.2_1_50,IPBES,0,biodiversity,State of biodiversity,NA,NA,IPBES
,the conservation status of species listed on the cites appendices has stabilized or improved,CITES_G1.5.1_5,CITES,1,biodiversity,Change in biodiversity,NA,NA,CITES
,the frequency of threats affecting ramsar sites,NA,NA,NA,ecosystems,State of ecosystems (integrity),NA,NA,RAMSAR
,the frequency of threats affecting ramsar sites - qualitative assessment,NA,NA,NA,ecosystems,State of ecosystems (integrity),NA,NA,RAMSAR
,the number and proportion of annual export quotas based on population surveys,NA,NA,NA,Governance,Nature-based legislation,NA,NA,CITES
,the number and proportion of species that have been found to meet the criteria contained in resolution conf.9.24 or its successors. this includes both the periodic review and amendment proposals,NA,NA,NA,Governance,Nature-based legislation,NA,NA,CITES
,"the number of administrative measures, criminal prosecutions and other court actions for cites-related offences",NA,NA,NA,Governance,Nature-based legislation,NA,NA,CITES
,the number of appendix ii species for which trade is determined to be non detrimental to the survival of the species as a result of implementing recommendations from the review of significant trade,NA,NA,NA,Governance,Nature-based legislation,NA,NA,CITES
,the number of bilateral and multilateral agreements that specifically provide for co-management of shared cites listed species by range states,NA,NA,NA,Governance,Nature-based legislation,NA,NA,CITES
,"the number of biodiversity conservation or sustainable use projects, trade and development goals, or scientific and technical programmes that integrate cites requirements",NA,NA,NA,Knowledge systems,Specific information on human-nature relationship,Governance,Nature-based legislation,CITES
,the number of capacity building activities mandated by resolutions and decisions that are fully funded,NA,NA,NA,Governance,National/international cooperation,Governance,Nature-based funding,CITES
,the number of cooperative actions taken under established bilateral or multilateral agreements to prevent species from being unsustainably exploited through international trade,NA,NA,NA,Governance,Nature-based legislation,Governance,National/international cooperation,CITES
,"the number of cooperative management plans, including recovery plans, in place for shared populations of cites listed species",NA,NA,NA,Governance,Nature-based legislation,NA,NA,CITES
,the number of countries and institutions that have provided additional funding from cites authorities to another country or activity for conservation and sustainable development projects in order to further the objectives of the convention,NA,NA,NA,Governance,Nature-based funding,Governance,National/international cooperation,CITES
,the number of parties cooperating and/or collaborating with intergovernmental and non-governmental organizations to participate in and/or fund cites workshops and other training and capacity-building activities,NA,NA,NA,Governance,National/international cooperation,Knowledge systems,Specific information on human-nature relationship,CITES
,the number of parties funded by international financial mechanisms and other related institutions to develop activities that include cites-related conservation and sustainable development elements,NA,NA,NA,Governance,Nature-based funding,Governance,National/international cooperation,CITES
,the number of parties incorporating cites into their national biodiversity strategy and action plan (nbsap),NA,NA,NA,Governance,Nature-based legislation,NA,NA,CITES
,the number of parties making use of the simplified procedures provided for in resolution conf.12.3 (rev.cop16),NA,NA,NA,Governance,Nature-based legislation,NA,NA,CITES
,the number of parties meeting their obligations with regard to their assessed contributions to the trust fund,NA,NA,NA,Governance,Nature-based legislation,NA,NA,CITES
,the number of parties raising funds for cites implementation through user fees or other mechanisms,NA,NA,NA,Governance,Nature-based funding,NA,NA,CITES
,the number of parties subject to cites recommendations on trade,NA,NA,NA,Governance,Nature-based legislation,NA,NA,CITES
,the number of parties that are in category 1 under the national legislation project,NA,NA,NA,Governance,Nature-based legislation,NA,NA,CITES
,the number of parties that have adopted standard procedures for making non detriment findings,NA,NA,NA,Governance,Nature-based legislation,NA,NA,CITES
,the number of parties that have adopted standard transparent for timely procedures the issuance of permits in accordance with article vi of the convention,NA,NA,NA,Governance,Nature-based legislation,NA,NA,CITES
,the number of parties that have been involved in cites awareness raising activities to bring about better awareness by the wider public and relevant user groups of the convention requirements,NA,NA,NA,Governance,Nature-based funding,Knowledge systems,Specific information on human-nature relationship,CITES
,"the number of parties that have criminal (penal) law and procedures and forensic capacity in place, and that use specialized investigation techniques, for investigating, prosecuting, and penalizing cites offences",NA,NA,NA,Governance,Nature-based legislation,Governance,National/international cooperation,CITES
,the number of parties that have designated management authorities and scientific authorities,NA,NA,NA,Governance,Nature-based legislation,NA,NA,CITES
,the number of parties that have implemented relevant reporting under resolutions and decisions of the conference of the parties and/or standing committee recommendations,NA,NA,NA,Governance,Nature-based legislation,NA,NA,CITES
,"the number of parties that have undertaken one or more of the following activities in the past two years increased the budget for activities; hired more staff; developed implementation tools; and purchased technical equipment for implementation, monitoring or enforcement",NA,NA,NA,Governance,Nature-based legislation,NA,NA,CITES
,"the number of parties that have, or are covered by, or engaged with an international enforcement strategy and/or action plans; formal international co-operation, such as an international enforcement network; a national enforcement strategy and/or action plan; and formal national inter-agency co-operation, such as a national inter-agency enforcement committee",NA,NA,NA,Governance,Nature-based legislation,Governance,National/international cooperation,CITES
,the number of parties using incentive measures as part of their implementation of the convention,NA,NA,NA,Governance,Nature-based funding,NA,NA,CITES
,the number of parties using risk assessment and intelligence to combat illegal trade in cites-listed species,NA,NA,NA,Governance,Nature-based legislation,NA,NA,CITES
,"the number of parties which report that they have achieved synergies in their implementation of cites, other biodiversity-related conventions and other relevant multilateral environmental, trade and development agreements",NA,NA,NA,Governance,Nature-based legislation,NA,NA,CITES
,"the number of parties with a process or mechanism for reviewing their enforcement strategies, and the activities to implement their strategies",NA,NA,NA,Governance,Nature-based legislation,NA,NA,CITES
,"the number of parties with dedicated staff and funding for management authorities, scientific authorities and wildlife trade enforcement agencies",NA,NA,NA,Governance,Nature-based legislation,NA,NA,CITES
