indicator_harmonized,indic_ids,sources,policy
number of people who died or disappeared in the process of migration towards an international destination,SDG_G10.7.3_138,SDG,1
number of people who died or disappeared in the process of migration towards an international destinationi,IPBES_SUA_sup_10.7.3_76,IPBES,0
number of people without access to safe sanitation services,GEO_16_17_189,GEO,0
number of permits or their equivalents for genetic resources (including those related to traditional knowledge) by type of permit,GBF_T13_C_55,GBF,1
number of photos taken by the public in an advert to indicate aesthetic values,VA_3_48_73,IPBES,0
number of plant and animal genetic resources for food and agriculture secured in either medium- or long-term conservation facilities,GBF_GA_CY_46;GBF_T9_CY_191;IPBES_SUA_sup_2.5.1_20,GBF;IPBES,1
number of plant and animal genetic resources secured in medium or long-term conservation facilities,GBF_T4_C_26;IPBES_GA3_sup_52,GBF;IPBES,1
"number of practical tools and guidance documents for wetland conservation and wise use, and other key scientific documentation, which has been developed by either strp, parties and others, and is available via the ramsar website",RAMSAR_OG4.14_46,RAMSAR,1
number of protected area management effectiveness (pame) assessments,GA_3_72_395;VA_3_27_60;IPBES_GA3_sup_47,IPBES,0
number of protected areas that have completed a site-level assessment of governance and equity (sage),GBF_T22_CY_260;GBF_T23_CY_268,GBF,1
number of publications,SUA_4_2_109,IPBES,0
number of ramsar sites designated for the following under represented wetland types: karst and other subterranean hydrological systems; coral reefs; wet grasslands; peatland; sea-grass beds; mangroves; temporary pools; bivalve (shellfish) reefs,RAMSAR_SG2.6_24,RAMSAR,1
number of ramsar sites removed from the montreux record,RAMSAR_SG2.7_25,RAMSAR,1
number of ramsar sites reported by parties to the ramsar secretariat of negative human-induced change or likely change in the ecological character of ramsar sites pursuant to article 3.2,RAMSAR_SG2.7_27,RAMSAR,1
number of ramsar sites that have been designated,RAMSAR_SG2.6_21,RAMSAR,1
"number of ramsar sites that have effective, implemented management plans",RAMSAR_SG2.5_14;RAMSAR_SG2.5_15,RAMSAR,1
number of rare or threatened species,VA_2_38_28,IPBES,0
number of regional initiatives successfully implemented,RAMSAR_OG4.15_48;RAMSAR_OG4.18_63,RAMSAR,1
number of relevant ramsar handbooks downloaded from the ramsar web-site and subtotals by country and ramsar region of the source of these downloads,RAMSAR_OG4.14_45,RAMSAR,1
number of reports shared by the parties in compliance with the resolutions of the convention,CITES_G2.2.4_13,CITES,1
number of research studies involving economic valuation,GA_3_15_329;IPBES_GA3_sup_6,IPBES,0
number of residents living in floodplains,GEO_17_8_200,GEO,0
"number of science and/or technology cooperation agreements and programmes between countries, by type of cooperation",UNCCD_SO5.6_15,UNCCD,1
number of scientists per population,GBF_GD_CY_98,GBF,1
"number of seizures made through parties collaboration across range, transit and destination states, to address entire illegal trade chains",CITES_G3.5.1_29,CITES,1
number of social media links to world wetland day,RAMSAR_OG4.16_54,RAMSAR,1
number of species at risk of extinction,IAS_4_22_102,IPBES,0
number of species extinctions,GA_1_52_19;IAS_4_22_102,IPBES,0
number of strp briefing papers downloaded from the ramsar web site and subtotals by country and ramsar region of the source of these downloads,RAMSAR_OG4.14_44,RAMSAR,1
number of studies on ias available per region,IAS_2_13_15,IPBES,0
number of summer days: annual count of days when tx (daily maximum temperature) >25°c,IPCC_sup_13,IPCC,0
number of surveys of cites listed species undertaken by exporting states to support non-detrimental findings,SUA_4_65_122,IPBES,0
"number of surveys, studies or other analyses undertaken by exporting countries based on the sources of information cited in resolution conf. 16.7 (rev. cop17) on non-detriment findings related to - the population status of appendix-ii species; - the trends and impact of trade upon appendix-ii species; and - the status of and trend in naturally-occurring appendix i species and the impact of any recovery plans",CITES_G2.2.1_10,CITES,1
number of threatened species by species group,GBF_GA_CY_36,GBF,1
number of times other relevant international organizations and agreements dealing with natural resources are consulted on issues relevant to species subject to unsustainable trade,CITES_G5.1.4_49,CITES,1
number of tourists,IAS_2_5_11,IPBES,0
"number of tourists, scientists and facilities per biogeographic region",IAS_6_21_146,IPBES,0
number of transboundary ramsar sites that have been designated,RAMSAR_SG2.6_23,RAMSAR,1
number of tropical nights: annual count of days when tn (daily minimum temperature) >20°c,IPCC_sup_14,IPCC,0
number of users that have provided information relevant to the utilization of genetic resources to designated checkpoints,GBF_GC_CY_90,GBF,1
"number of verified cases of killing, kidnapping, enforced disappearance, arbitrary detention and torture of journalists, associated media personnel, trade unionists and human rights advocates in the previous 12 months",SDG_G16.10.1_232,SDG,1
"number of victims of human trafficking per 100,000 population, by sex, age and form of exploitation",SDG_G16.2.2_217,SDG,1
"number of victims of intentional homicide per 100,000 population, by sex and age",SDG_G16.1.1_212,SDG,1
number of vulnerable marine ecosystems,GEO_14_16_155,GEO,0
number of widespread phyla for which no information was available for a particular region,IAS_2_13_16,IPBES,0
number of wildlife pictures posted on a photo-sharing website,VA_3_48_73,IPBES,0
number of workshops and other capacity-building activities that bring range states together to address the conservation and management needs of shared cites listed species,CITES_G2.2.3_12;CITES_G3.2.2_25,CITES,1
number of world natural heritage sites per country per year,GA_1_52_19,IPBES,0
number of world wetland day activities or events reported to the secretariat,RAMSAR_OG4.16_51,RAMSAR,1
number of written ndfs submitted and number of parties submitting ndfs for posting in the cites online database,CITES_G2.1.2_8,CITES,1
number of ‘hits’ on scientific and technical guidance pages of the ramsar web-site and associated subtotals by country and ramsar region of the source of these hits,RAMSAR_OG4.14_43,RAMSAR,1
"number or countries with policies to manage the use of wild species sustainably, providing social, economic and environmental benefits for people, and to protect and encourage customary sustainable use by indigenous peoples and local communities",GBF_T9_H_29,GBF,1
numbers of scientific publications on biodiversity,GA_3_49_379,IPBES,0
nutrient pollution,GEO_14_15_152,GEO,0
nutrient runoff into oceans (n and p),GEO_20_8_234,GEO,0
nutrition,GEO_3_5_16,GEO,0
o recovery,GEO_5_17_42,GEO,0
o3 concentration,GEO_5_17_41;GEO_5_17_42,GEO,0
o3 emissions,GEO_20_6_228,GEO,0
observation-based estimate of global mean surface air temperature (gmst),IPCC_1_45_19,IPCC,0
occurrence of heat-related human mortality,IPCC_1_62_25,IPCC,0
ocean acidification,GBF_GB_CY_65;GEO_2_26_7,GBF;GEO,1
ocean health index,GBF_GA_CY_31;GA_2.2_38_74;GA_4_155_228;GA_6_86_279;GEO_6_8_48,GBF;IPBES;GEO,1
ocean heat content,IPCC_1_13_4;IPCC_1_70_30;IPCC_2_26_47;IPCC_2_63_104;IPCC_3_51_187,IPCC,0
ocean heat content and specific humidity,GEO_2_26_7,GEO,0
ocean heat content ohc,IPCC_9_37_432,IPCC,0
ocean ph,IPCC_4_18_229,IPCC,0
ocean salinity,IPCC_3_84_212,IPCC,0
ocean temperature,IPCC_3_51_187,IPCC,0
ocean-colour,IPCC_2_76_123,IPCC,0
oceanic carbon sequestration,GA_2.2_37_70;IPBES_GA2.2_sup_33,IPBES,0
oceanic niño index (oni),IPCC_2_86_146,IPCC,0
ocenan ph,IPCC_2_81_132,IPCC,0
odss and ghgs,GEO_5_17_41,GEO,0
oecd better life index,GA_4_131_209,IPBES,0
official development assistance on conservation and sustainable use of biodiversity,SDG_G15.a.1.a_207;SDG_G15.b.1.a_209;IPBES_SUA_sup_15.a.1.a_133;IPBES_SUA_sup_15.b.1.a_135,SDG;IPBES,1
official development assistance provided in support of the cbd objectives,GA_3_51_381;IPBES_GA3_sup_67,IPBES,0
old ship logbooks,IPCC_2_58_90,IPCC,0
one-in-20 year return value of maximum five-day precipitation,IPCC_sup_33,IPCC,0
one-in-20 year return value of maximum one-day precipitation,IPCC_sup_32,IPCC,0
one-in-20 year return value of monthly maximum value of daily maximum temperature,IPCC_sup_17,IPCC,0
one-in-20 year return value of monthly maximum value of daily minimum temperature,IPCC_sup_20,IPCC,0
one-in-20 year return value of monthly minimum value of daily maximum temperature,IPCC_sup_18,IPCC,0
one-in-20 year return value of monthly minimum value of daily minimum temperature,IPCC_sup_19,IPCC,0
online interest in biodiversity (proportion of google searches),GA_3_15_329;IPBES_GA3_sup_4,IPBES,0
opening up of forest canopy,GA_2.2_65_113,IPBES,0
organisms` size or growth,GA_4_34_176,IPBES,0
other governance-related indicator on cms implementation,CMS_G1.3_5,CMS,1
other spatial management plans (not captured as iczm or marine spatial planning in 14.2.1),GBF_T1_CY_108,GBF,1
outcome-based indicators(s) related to (extent of) wetland restoration possibly including remote sensing as appropriate,RAMSAR_SG3.12_41,RAMSAR,1
overall species abundance,GA_1_52_19,IPBES,0
overexploitation of resources by outsiders and locals,GA_2.2_6_56,IPBES,0
pacific decadal oscillation (pdo),IPCC_2_89_154;IPCC_3_80_205,IPCC,0
pacific decadal variability (pdv),IPCC_3_78_203;IPCC_3_80_206;IPCC_3_81_208,IPCC,0
paleo-temperature records,IPCC_2_29_62,IPCC,0
palmer drought severity index (pdsi),IPCC_8_66_403;IPCC_11_58_543;IPCC_11_60_549;IPCC_sup_40,IPCC,0
pan evaporation measurements,IPCC_11_61_551,IPCC,0
"parity indices (female/male, rural/urban, bottom/top wealth quintile and others such as disability status, indigenous peoples and conflict-affected, as data become available) for all education indicators on this list that can be disaggregated",SDG_G4.5.1_62,SDG,1
"participation rate in organized learning (one year before the official primary entry age), by sex",SDG_G4.2.2_59,SDG,1
"participation rate of youth and adults in formal and non-formal education and training in the previous 12 months, by sex",SDG_G4.3.1_60,SDG,1
passenger and freight volumes by mode of transport,GA_3_128_421,IPBES,0
"passenger and freight volumes, by mode of transport",SDG_G9.1.2_118;IPBES_SUA_sup_9.1.2_60,SDG;IPBES,1
peatland extent and condition,GBF_GA_CY_6,GBF,1
penman-monteith aed (atmospheric evaporative demand),IPCC_11_61_551,IPCC,0
people per outlet mcdonals,IPBES_GA2.1_sup_19,IPBES,0
peoples’ preferences or spending on safeguarding biodiversity and ecosystem services,VA_3_2_52,IPBES,0
per capita calorie intake,IPBES_GA2.1_sup_8,IPBES,0
per capita consumption,GA_2_22_28,IPBES,0
percent of total land area that is under cultivation,GBF_T1_CY_111,GBF,1
percentage change in local species richness,IPBES_GA3_sup_55,IPBES,0
percentage loss of red list indexed species from ramsar sites,RAMSAR_SG2.5_20,RAMSAR,1
percentage of abroad land use footprint,GA_2_118_47,IPBES,0
percentage of agricultural and urban areas,GA_2_118_47,IPBES,0
percentage of biosphere reserves that have a positive conservation outcome and effective management,GBF_T3_CY_141,GBF,1
percentage of bloodstream infections due to selected antimicrobial-resistant organisms,SDG_G3.d.2_55,SDG,1
"percentage of cities with direct participation structure of civil society in urban planning and management, which operate regularly and democratically",GEO_15_21_173,GEO,0
percentage of contracting parties that have provided additional financial support through voluntary contributions to non-core funded convention activities,RAMSAR_OG4.17_60,RAMSAR,1
percentage of countries that are category 1 cites parties,GA_1_52_19;GA_3_15_329;IPBES_GA3_sup_9,IPBES,0
percentage of countries that have ratified the nagoya protocol,IPBES_GA3_sup_59,IPBES,0
percentage of countries with invasive alien species legislation,GA_3_72_395;IPBES_GA3_sup_35,IPBES,0
percentage of countries with revised nbsaps,IPBES_GA3_sup_60,IPBES,0
percentage of countries with systems in place for restoration and compensation of damage to conservation and sustainable use of biological diversity,GBF_T17_CY_228,GBF,1
percentage of cropped landscapes with at least 10 percentage natural land,GBF_T2_CY_122,GBF,1
percentage of days when daily maximum temperature is greater than the 90th percentile,IPCC_sup_5,IPCC,0
percentage of days when daily maximum temperature is less than the 10th percentile,IPCC_sup_6,IPCC,0
percentage of days when daily minimum temperature is greater than the 90th percentile,IPCC_sup_7,IPCC,0
percentage of days when daily minimum temperature is less than the 10th percentile,IPCC_sup_8,IPCC,0
percentage of freshwater key biodiversity areas covered by protected areas,GA_3_72_395,IPBES,0
percentage of global rural population with access to improved water resources,IPBES_GA3_sup_58,IPBES,0
percentage of land and seas covered by biodiversity-inclusive spatial plans,GBF_T1_H_15,GBF,1
percentage of live coral cover,GA_2.2_70_120;GA_3_34_361,IPBES,0
percentage of marine ecoregions covered by protected areas,IPBES_GA3_sup_45,IPBES,0
percentage of marine key biodiversity areas covered by protected areas,GA_3_72_395,IPBES,0
percentage of parties having a national inventory of invasive alien species that currently or potentially impact the ecological character of wetlands,RAMSAR_SG1.4_11,RAMSAR,1
percentage of parties having national ramsar committees that include both governmental and non-governmental representation,RAMSAR_SG1.3_9,RAMSAR,1
percentage of parties reporting actions taken to implement incentive measures that encourage the conservation and wise use of wetlands,RAMSAR_SG1.3_6,RAMSAR,1
percentage of parties reporting actions taken to remove perverse incentive measures that discourage conservation and wise use of wetlands,RAMSAR_SG1.3_7,RAMSAR,1
percentage of parties reporting having sufficient information to enforce the convention,CITES_G2.3.2_17,CITES,1
percentage of parties reporting having sufficient information to make listing decisions that are reflective of species conservation needs,CITES_G2.4.1_18,CITES,1
"percentage of parties reporting private sector undertaking activities for the conservation, wise use and management of wetlands in general",RAMSAR_SG1.3_8,RAMSAR,1
percentage of parties reporting to the ramsar secretariat all cases of negative human-induced change or likely change in the ecological character of ramsar sites pursuant to article 3.2,RAMSAR_SG2.7_26,RAMSAR,1
percentage of parties that co-developed or otherwise supported the capacity of indigenous peoples and local communities to pursue livelihoods,CITES_G4.1.2_36,CITES,1
percentage of parties that consider wetlands as natural water infrastructure integral to water resource management at the scale of river basin,RAMSAR_SG3.9_33,RAMSAR,1
percentage of parties that have adopted wetland policies or equivalent instruments that promote the wise use of their wetlands,RAMSAR_SG3.9_32,RAMSAR,1
percentage of parties that have been involved in the development and implementation of a regional initiative under the framework of the convention,RAMSAR_OG4.15_49;RAMSAR_OG4.18_64,RAMSAR,1
percentage of parties that have branded world wetlands day activities,RAMSAR_OG4.16_50,RAMSAR,1
percentage of parties that have complete national wetland inventories,RAMSAR_SG3.8_30,RAMSAR,1
percentage of parties that have effective cooperative management in place for shared wetland systems (for example in shared river basins and coastal zones),RAMSAR_OG4.18_66,RAMSAR,1
percentage of parties that have established national action plans for wetland cepa,RAMSAR_OG4.16_56,RAMSAR,1
percentage of parties that have established networks including twinning arrangements nationally or internationally for knowledge sharing and training for wetlands that share common features,RAMSAR_OG4.18_65,RAMSAR,1
percentage of parties that have established or reviewed national policies or guidelines on invasive wetland species control and management,RAMSAR_SG1.4_10,RAMSAR,1
percentage of parties that have established restoration plans [or activities] for sites,RAMSAR_SG3.12_39,RAMSAR,1
percentage of parties that have implemented effective restoration or rehabilitation projects,RAMSAR_SG3.12_40,RAMSAR,1
percentage of parties that have implemented programmes or projects that contribute to poverty alleviation objectives or food and water security plans,RAMSAR_SG3.11_38,RAMSAR,1
percentage of parties that have included wetland issues within national policies or measures on agriculture,RAMSAR_SG1.1_3,RAMSAR,1
percentage of parties that have included wetland issues within national strategies and planning processes such as water resource management and water efficiency plans,RAMSAR_SG1.1_2;RAMSAR_SG1.2_4,RAMSAR,1
percentage of parties that have incorporated wetlands issues into poverty eradication strategies,RAMSAR_SG3.11_37,RAMSAR,1
percentage of parties that have made an assessment of national and local training needs for the implementation of the convention,RAMSAR_OG4.19_70,RAMSAR,1
percentage of parties that have made assessment of ecosystem services of ramsar sites,RAMSAR_SG1.1_1;RAMSAR_SG3.11_36,RAMSAR,1
percentage of parties that have made assessments of effective management of ramsar sites,RAMSAR_SG2.5_16,RAMSAR,1
percentage of parties that have received funding support from development assistance agencies for national wetlands conservation and management,RAMSAR_OG4.17_61,RAMSAR,1
percentage of parties that have taken actions to address the issues for which ramsar sites have been listed on the montreux record,RAMSAR_SG2.7_28,RAMSAR,1
percentage of parties that have updated their national inventories in the last decade,RAMSAR_SG3.8_31,RAMSAR,1
percentage of parties to the cartagena protocol on biosafety implementing the relevant provisions of the protocol,GBF_T17_CY_225,GBF,1
percentage of parties to the nagoya - kuala lumpur supplementary protocol,GBF_T17_CY_227,GBF,1
percentage of parties where co-ordination mechanisms for the implementation of meas exist at a national level,RAMSAR_OG4.18_67,RAMSAR,1
percentage of parties with a) a governmental cepa national focal point and b) a non-governmental national focal point,RAMSAR_OG4.16_55,RAMSAR,1
percentage of population living in dense urban areas,GA_2.3_50_149,IPBES,0
percentage of population using safely managed drinking water services,GA_1_52_19,IPBES,0
"percentage of population who believe decision making is inclusive and responsive, by sex, age, disability and population group",GBF_T23_CY_269,GBF,1
"percentage of positions in national and local institutions, including (a) the legislatures; (b) the public service; and (c) the judiciary, compared to national distributions, by sex, age, persons with disabilities and population groups",GBF_T22_CY_255;GBF_T23_CY_264,GBF,1
percentage of ramsar sites that have updated ramsar information sheets,RAMSAR_SG2.5_17,RAMSAR,1
percentage of ramsar sites which have improved the sustainability of water use in the context of ecosystem requirements,RAMSAR_SG1.2_5,RAMSAR,1
percentage of spatial plans utilizing information on key biodiversity areas,GBF_T1_CY_106,GBF,1
percentage of terrestrial domesticated animal breeds at risk,IPBES_GA3_sup_53,IPBES,0
percentage of terrestrial ecoregions covered by protected areas,GA_3_72_395;GA_3_72_395;IPBES_GA3_sup_42;IPBES_GA3_sup_44,IPBES,0
percentage of the population exposed to annual mean pm concentrations above the highest interim target of 35 μg/m,GEO_20_8_233,GEO,0
percentage of the population in traditional occupations,GBF_T9_H_28,GBF,1
percentage of the total funds required to implement the work programme agreed by the conference of the parties that is fully funded,CITES_G3.3.2_27,CITES,1
percentage of threatened species that are improving in status,GBF_GA_CY_35;GBF_T4_CY_149,GBF,1
percentage of undernourished people,GA_1_52_19,IPBES,0
permafrost temperature,IPCC_2_62_101,IPCC,0
"permafrost thickness, depth and extent",GBF_GA_CY_7,GBF,1
permafrost-vegetation relationships,IPCC_2_62_100,IPCC,0
permanent surface water extent,GA_2.2_37_70;IPBES_GA2.2_sup_18,IPBES,0
"pest, invasive or harmful species",GA_4_34_176,IPBES,0
pesticide use,GA_3_51_381;GA_3_54_387;IPBES_GA2.1_sup_42;IPBES_GA3_sup_31,IPBES,0
pesticide use per area of cropland,GBF_T7_CY_180,GBF,1
ph and desoxygenation,IPCC_2_26_47,IPCC,0
ph of ocean surface water,IPCC_1_32_16,IPCC,0
phenology of economically and/or culturally important wild plant and animal species,GA_2.3_40_140,IPBES,0
phenology of marine biota,IPCC_2_26_47,IPCC,0
phosphorus (p) loads,GA_3_74_399,IPBES,0
photo series analysis using social media,VA_3_48_73,IPBES,0
photo-rankings,VA_2_38_28,IPBES,0
phylogenetic distance,IAS_3_84_95,IPBES,0
phylogenetic diversity,GA_2.3_42_143,IPBES,0
phytoplankton abundance,IPCC_2_74_118,IPCC,0
phytoplankton community structure,IPCC_2_75_119,IPCC,0
piped drinking water,GEO_22_21_257,GEO,0
planck temperature response,IPCC_7_56_335,IPCC,0
planetary pressures adjusted human development index (hdi),VA_2_38_29,IPBES,0
plant water use efficiency (wue),IPCC_8_65_401,IPCC,0
plastic debris density,GBF_T7_CY_176;SDG_G14.1.1.b_184;IPBES_SUA_sup_14.1.1.b_111,GBF;SDG;IPBES,1
pm 10 emissions,GEO_20_6_228,GEO,0
pm 2.5 emissions,GEO_20_6_228,GEO,0
pm2.5 emissions,GEO_12_16_119,GEO,0
polar ice sheets,GEO_4_13_34,GEO,0
poleward shifts in the south atlantic convergence zone (sacz),IPCC_8_45_390,IPCC,0
policies make adequate provisions to minimize impacts of fisheries on threatened species,GA_1_52_19,IPBES,0
policies to secure that mortalities and significant indirect adverse impacts on non-target species are accounted for are in place,GA_1_52_19,IPBES,0
political stability and absence of violence/terrorism,IPBES_GA2.1_sup_67,IPBES,0
pollen deposition,GA_2.3_42_143,IPBES,0
pollen presence,IPCC_2_24_46;IPCC_2_62_100,IPCC,0
pollinator diversity,GA_2.3_2_125;GA_2.3_42_143,IPBES,0
population density,IPBES_GA2.1_sup_21,IPBES,0
population extinctions,GA_2.3_75_161,IPBES,0
population growth (annual percentage),IPBES_GA2.1_sup_20,IPBES,0
population in megacities,IPBES_GA2.1_sup_28,IPBES,0
population in the largest city,IPBES_GA2.1_sup_27,IPBES,0
population involved in hunting and gathering,GBF_GB_CY_76,GBF,1
population size,GA_2.3_40_140;SUA_2_97_80,IPBES,0
population-weighted annual mean concentration of pm2.5,GEO_12_15_115,GEO,0
population-weighted ozone concentrations,IPCC_6_73_321,IPCC,0
population-weighted pm2.5 concentrations,IPCC_6_73_321,IPCC,0
position of 15n atom in atmospheric n2o,IPCC_5_36_279,IPCC,0
positive incentives in place to promote biodiversity conservation and sustainable use,GBF_T18_H_43,GBF,1
possible use or further development of indicator(s) linked to work currently being undertaken to develop indicator(s) for related aichi target 18 of the strategic plan for biodiversity,RAMSAR_SG3.10_35,RAMSAR,1
potential evaporation anomalies,IPCC_11_58_543,IPCC,0
"potential evaporation, evaporative demand drought index",IPCC_sup_35,IPCC,0
poverty,GEO_3_5_16,GEO,0
poverty gap,IPBES_GA2.1_sup_3,IPBES,0
power dissipation index,IPCC_9_104_471;IPCC_11_79_569,IPCC,0
precipiation,IPCC_8_28_370,IPCC,0
precipitable water vapour,IPCC_2_26_47,IPCC,0
precipitation,IPCC_2_26_47;IPCC_3_8_164;IPCC_8_43_384,IPCC,0
precipitation deciles and percentiles,IPCC_11_58_543,IPCC,0
precipitation deficits,IPCC_11_58_544,IPCC,0
precipitation index,IPCC_4_8_221,IPCC,0
precipitation intensity-duration thresholds,IPCC_12_17_598,IPCC,0
precipitation-evaporation,IPCC_2_26_47,IPCC,0
predatory fish biomass,GA_2.2_37_70;IPBES_GA2.2_sup_74,IPBES,0
premature deaths,GEO_5_19_45,GEO,0
premature deaths in 2016 to household air pollution,GEO_5_19_45,GEO,0
presence of regulations requiring recovery of depleted species,GA_1_52_19,IPBES,0
presense of endemic species,GEO_13_18_135,GEO,0
pressure ozone trend,GEO_5_17_42,GEO,0
"prevalence of anaemia in women aged 15 to 49 years, by pregnancy status (percentage)",SDG_G2.2.3_18;IPBES_SUA_sup_2.2.3_16,SDG;IPBES,1
prevalence of certain species,SUA_2_97_80,IPBES,0
prevalence of knowledge about seasonal cycles in their communities,SUA_2_97_80,IPBES,0
"prevalence of malnutrition (weight for height >+2 or <-2 standard deviation from the median of the who child growth standards) among children under 5 years of age, by type (wasting and overweight)",SDG_G2.2.2_17;IPBES_SUA_sup_2.2.2_15,SDG;IPBES,1
"prevalence of moderate or severe food insecurity in the population, based on the food insecurity experience scale",GBF_GB_CY_77;SDG_G2.1.2_15;IPBES_SUA_sup_2.1.2_13,GBF;SDG;IPBES,1
prevalence of obesity in the adult population (18 years and older),IPBES_GA2.1_sup_9,IPBES,0
prevalence of stunting (height for age <-2 standard deviation from the median of the world health organization (who) child growth standards) among children under 5 years of age,SDG_G2.2.1_16;IPBES_SUA_sup_2.2.1_14,SDG;IPBES,1
prevalence of undernourishment,SDG_G2.1.1_14;IPBES_SUA_sup_2.1.1_12,SDG;IPBES,1
prevented emissions and uptake of greenhouse gases by ecosystems,GA_2.3_42_143,IPBES,0
prey fish biomass,GA_2.2_37_70;IPBES_GA2.2_sup_75,IPBES,0
"primary government expenditures as a proportion of original approved budget, by sector (or by budget codes or similar)",SDG_G16.6.1_226,SDG,1
primary production of marine biota,IPCC_2_26_47,IPCC,0
priority retention of intact / wilderness areas,GBF_T1_C_14;GBF_T2_CY_124,GBF,1
private funding (domestic and international) on conservation and sustainable use of biodiversity and ecosystems,GBF_GD_H_12;GBF_T19_H_47,GBF,1
pro-poor public social spending,SDG_G1.b.1_13;IPBES_SUA_sup_1.b.1_11,SDG;IPBES,1
processes and tools to monitor the implementation of a right to a healthy environment (e.g. included in nbsaps and reported in national reports,GBF_GB_CY_88,GBF,1
production,GA_4_34_176,IPBES,0
production of fuelwood,GA_2.3_42_143,IPBES,0
profile of effective radiative forcing (erf),IPCC_7_90_359,IPCC,0
progress towards sustainable forest management,GBF_T10_H_31;SDG_G15.2.1_196;IPBES_SUA_sup_15.2.1_123,GBF;SDG;IPBES,1
projections of global fisheries under an unchanged climate and current management scenario,GEO_21_17_250,GEO,0
"proportion and number of children aged 5-17 years engaged in child labour, by sex and age",SDG_G8.7.1_108;IPBES_SUA_sup_8.7.1_52,SDG;IPBES,1
proportion of adults (15 years and older) with an account at a bank or other financial institution or with a mobile-money-service provider,SDG_G8.10.2_114;IPBES_SUA_sup_8.10.2_56,SDG;IPBES,1
proportion of agricultural area under productive and sustainable agriculture,GBF_T10_H_30;SDG_G2.4.1_21;GA_1_52_19;GEO_17_11_203;IPBES_SUA_sup_2.4.1_19,GBF;SDG;IPBES;GEO,1
proportion of area of forest production under fsc and pefc certification,GA_1_52_19,IPBES,0
proportion of births attended by skilled health personnel,SDG_G3.1.2_29,SDG,1
proportion of bodies of water with good ambient water quality,GBF_T11_C_52;GBF_GB_CY_67;SDG_G6.3.2_86;IPBES_SUA_sup_6.3.2_31,GBF;SDG;IPBES,1
"proportion of businesses that had at least one contact with a public official and that paid a bribe to a public official, or were asked for a bribe by those public officials during the previous 12 months",SDG_G16.5.2_225,SDG,1
proportion of children aged 1-17 years who experienced any physical punishment and/or psychological aggression by caregivers in the past month,SDG_G16.2.1_216,SDG,1
"proportion of children aged 24-59 months who are developmentally on track in health, learning and psychosocial well-being, by sex",SDG_G4.2.1_58,SDG,1
"proportion of children and young people (a) in grades 2/3; (b) at the end of primary; and (c) at the end of lower secondary achieving at least a minimum proficiency level in (i) reading and (ii) mathematics, by sex",SDG_G4.1.1_56,SDG,1
"proportion of children under 5 years of age whose births have been registered with a civil authority, by age",SDG_G16.9.1_231,SDG,1
proportion of cities with a direct participation structure of civil society in urban planning and management that operate regularly and democratically,SDG_G11.3.2_146,SDG,1
proportion of countries adopting relevant national legislation and adequately resourcing the prevention or control of invasive alien species,SDG_G15.8.1_204;IAS_5_120_132;GEO_13_17_134;IPBES_SUA_sup_15.8.1_130,SDG;IPBES;GEO,1
proportion of countries that (a) have conducted at least one population and housing census in the last 10 years; and (b) have achieved 100 percent birth registration and 80 percent death registration,SDG_G17.19.2_259,SDG,1
proportion of countries that are category 1 signatories to the convention on international trade in endangered species of wild fauna and flora (cites),GA_3_26_354,IPBES,0
proportion of countries where the legal framework (including customary law) guarantees women equal rights to land ownership and/or control,GBF_T23_CY_270;SDG_G5.a.2_80;IPBES_SUA_sup_5.a.2_28,GBF;SDG;IPBES,1
"proportion of countries with migration policies that facilitate orderly, safe, regular and responsible migration and mobility of people",SDG_G10.7.2_137,SDG,1
proportion of countries with systems to track and make public allocations for gender equality and women’s empowerment,SDG_G5.c.1_82;IPBES_SUA_sup_5.c.1_29,SDG;IPBES,1
proportion of cropland,IAS_2_5_11,IPBES,0
proportion of degraded mountain land,SDG_G15.4.2.b_200,SDG,1
proportion of domestic and industrial wastewater flows safely treated,GBF_T7_C_37;SDG_G6.3.1_85,GBF;SDG,1
proportion of domestic budget funded by domestic taxes,SDG_G17.1.2_237;IPBES_SUA_sup_17.1.2_139,SDG;IPBES,1
proportion of domesticated breeds categorized as at risk or extinct,GA_3_44_371,IPBES,0
proportion of fish stocks within biologically sustainable levels,GBF_T5_H_21;GBF_T9_CY_187;SDG_G14.4.1_187;GA_1_52_19;GA_2.2_37_70;GA_2.2_70_120;GA_4_152_225;GA_3_15_329;GA_3_72_395;GEO_20_8_234;GEO_21_17_250;GEO_21_17_250;IPBES_GA2.2_sup_69;IPBES_GA3_sup_20;IPBES_SUA_sup_14.4.1_114,GBF;SDG;IPBES;GEO,1
"proportion of girls and women aged 15-49 years who have undergone female genital mutilation, by age",SDG_G5.3.2_72,SDG,1
"proportion of hazardous waste treated, by type of treatment",SDG_G12.4.2.b_167;IPBES_SUA_sup_12.4.2.b_94,SDG;IPBES,1
proportion of health facilities that have a core set of relevant essential medicines available and affordable on a sustainable basis,SDG_G3.b.3_52,SDG,1
proportion of individuals using the internet,SDG_G17.8.1_245;IPBES_SUA_sup_17.8.1_145,SDG;IPBES,1
"proportion of individuals who own a mobile telephone, by sex",SDG_G5.b.1_81,SDG,1
"proportion of informal employment in total employment, by sector and sex",SDG_G8.3.1_102;IPBES_SUA_sup_8.3.1_46,SDG;IPBES,1
proportion of known species assessed through the red list index,GBF_T21_CY_251;GA_1_52_19;IPBES_GA3_sup_63,GBF;IPBES,1
