indicators_harmonized,ga,sua,va,ias,ipbes,geo,ipcc,km_gbf,sdg,cites,cms,iccwc,ramsar,unccd,policy,indic,indic_ext,var_ext,ILK_ext,Categories,Categories_2,Subcategories,Subcategories_2
atlantic meridional overturning circulation (amoc),NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,ecosystems,NA,Abiotic conditions,NA
seasonal variations in atmospheric co2 concentrations,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,ecosystems,NA,Abiotic conditions,NA
expansion of oligotrophic subtropical gyres of the atlantic and pacific oceans,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,ecosystems,NA,State of ecosystems (marine),NA
phytoplankton abundance,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,biodiversity,NA,State of biodiversity,NA
clorophyll concentration,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,ecosystems,NA,State of ecosystems (marine),NA
phytoplankton community structure,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,biodiversity,NA,State of biodiversity,NA
distribution of species,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,biodiversity,NA,State of biodiversity,NA
el niño-southern oscillation (enso) index,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,ecosystems,NA,Abiotic conditions,NA
changes in phytoplankton phenology,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,biodiversity,NA,Change in biodiversity,NA
ocean-colour,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,ecosystems,NA,State of ecosystems (marine),NA
normalized difference vegetation index (ndvi),NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,ecosystems,NA,State of ecosystems (coverage),NA
northernmost location of the treeline,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,ecosystems,NA,State of ecosystems (configuration),NA
ocenan ph,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,ecosystems,Direct drivers,Abiotic conditions,Climate change
north atlantic oscillation (nao) index,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,ecosystems,NA,Abiotic conditions,NA
northern annular mode (nam) index,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,ecosystems,NA,Abiotic conditions,NA
southern annular mode (sam) index,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,ecosystems,NA,Abiotic conditions,NA
oceanic niño index (oni),NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,ecosystems,NA,Abiotic conditions,NA
southern oscillation index (soi),NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,ecosystems,NA,Abiotic conditions,NA
pacific decadal oscillation (pdo),NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,ecosystems,NA,Abiotic conditions,NA
inter-decadal pacific oscillation (ipo) index,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,ecosystems,NA,Abiotic conditions,NA
atlantic multi-decadal variability (amv) index,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,ecosystems,NA,Abiotic conditions,NA
volcanic activity,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,Direct drivers,NA,Natural drivers,NA
ghg changes,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,Direct drivers,NA,Climate change,NA
aerosol changes,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,Direct drivers,NA,Climate change,NA
tree rings,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,biodiversity,NA,State of biodiversity,NA
hadley circulation cell,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,ecosystems,NA,Abiotic conditions,NA
sea ice thermodynamic,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,ecosystems,NA,State of ecosystems,NA
ocean temperature,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,ecosystems,NA,Abiotic conditions,NA
atmosphere-land co2 fluxes,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,ecosystems,NA,Abiotic conditions,NA
land-use and management,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,Ecosystem services,NA,Nature contribution,NA
wildfires,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,Direct drivers,NA,Natural drivers,NA
indian ocean dipole index (iod),NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,ecosystems,NA,Abiotic conditions,NA
indian ocean basin (iob) index,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,ecosystems,NA,Abiotic conditions,NA
pacific decadal variability (pdv),NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,ecosystems,NA,Abiotic conditions,NA
indian ocean dipole (ipo),NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,ecosystems,NA,Abiotic conditions,NA
ocean salinity,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,ecosystems,Direct drivers,Abiotic conditions,Climate change
global surface air temperature (gsat),NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,ecosystems,Direct drivers,Abiotic conditions,Climate change
global land precipitation,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,ecosystems,NA,Abiotic conditions,NA
arctic sea ice area,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,ecosystems,NA,State of ecosystems,NA
global mean ocean surface ph,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,ecosystems,NA,Abiotic conditions,NA
carbon uptake by land and ocean,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,Ecosystem services,ecosystems,Nature contribution,State of ecosystems
northern and southern annular modes (nam and sam),NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,ecosystems,NA,Abiotic conditions,NA
precipitation index,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,ecosystems,NA,Abiotic conditions,NA
circulation index,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,ecosystems,NA,Abiotic conditions,NA
ocean ph,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,ecosystems,NA,Abiotic conditions,NA
land monsoon precipitation index,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,ecosystems,NA,Abiotic conditions,NA
northern hemisphere summer monsoon circulation index,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,ecosystems,NA,Abiotic conditions,NA
el niño-southern oscillation (enso) index bjerknes index,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,ecosystems,NA,Abiotic conditions,NA
changes in mean precipitation,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,ecosystems,NA,Abiotic conditions,NA
contrast of mean precipitation between dry and wet regions and between dry and wet seasons,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,ecosystems,NA,Abiotic conditions,NA
annular mode index,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,ecosystems,NA,Abiotic conditions,NA
land-use co2 emissions,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,Direct drivers,NA,Climate change,NA
fossil co2 emissions,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,Direct drivers,NA,Climate change,NA
non-co2 fossil-fuel emissions,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,Direct drivers,NA,Climate change,NA
land-use related non-co2 emissions,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,Direct drivers,NA,Climate change,NA
co2 concentration,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,ecosystems,Direct drivers,Abiotic conditions,Climate change
ice core measurements,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,ecosystems,Direct drivers,State of ecosystems,Climate change
sink rate,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,ecosystems,NA,Abiotic conditions,NA
15n/14n isotope ratio,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,ecosystems,NA,Abiotic conditions,NA
position of 15n atom in atmospheric n2o,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,Direct drivers,NA,Climate change,NA
atmospheric inversions,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,ecosystems,NA,Abiotic conditions,NA
interannual variability of primary production (pp),NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,ecosystems,NA,State of ecosystems,NA
global carbon budget,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,Ecosystem services,NA,Nature contribution,NA
global dust deposition,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,Direct drivers,Direct drivers,Climate change,Pollution
global annual mean tropospheric ozone burden,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,Direct drivers,ecosystems,Climate change,Abiotic conditions
tropospheric no2 abundance,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,Direct drivers,NA,Climate change,NA
satellite formaldehyde (hcho) observations,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,Direct drivers,NA,Climate change,NA
sulphate in precipitation,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,Direct drivers,NA,Climate change,NA
surface warming,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,Direct drivers,NA,Climate change,NA
sectoral emissions density,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,Direct drivers,NA,Climate change,NA
population-weighted pm2.5 concentrations,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,Direct drivers,NA,Pollution,NA
population-weighted ozone concentrations,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,Direct drivers,NA,Pollution,NA
transient climate response tcr,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,ecosystems,NA,Abiotic conditions,NA
equilibrium climate sensitivity ecs,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,ecosystems,NA,Abiotic conditions,NA
surface turbulent fluxes,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,ecosystems,NA,Abiotic conditions,NA
aerosol index,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,Direct drivers,NA,Pollution,NA
ghs effective radiative forcing,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,Direct drivers,NA,Pollution,NA
antarctic ice sheet loss,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,ecosystems,NA,Change in ecosystems,NA
net climate feedback,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,Ecosystem services,NA,Nature contribution,NA
planck temperature response,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,ecosystems,NA,Abiotic conditions,NA
global surface temperature,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,ecosystems,NA,Abiotic conditions,NA
toa energy budget,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,Ecosystem services,NA,Nature contribution,NA
profile of effective radiative forcing (erf),NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,ecosystems,NA,Abiotic conditions,NA
emission of particular compounds,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,Direct drivers,NA,Climate change,NA
radiative forcing,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,Direct drivers,NA,Climate change,NA
absolute global forcing potential (agfp),NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,Direct drivers,NA,Climate change,NA
absolute global temperature change potential (agtp),NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,Direct drivers,NA,Climate change,NA
changes in precipitation frequency and intensity,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,ecosystems,Direct drivers,Abiotic conditions,Climate change
precipiation,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,ecosystems,NA,Abiotic conditions,NA
snowfall,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,ecosystems,NA,Abiotic conditions,NA
soil moisture,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,ecosystems,NA,Abiotic conditions,NA
south pacific convergence zone (spcz),NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,ecosystems,NA,Abiotic conditions,NA
inter-tropical convergence zone (itcz) narrowing,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,ecosystems,NA,Abiotic conditions,NA
rainfall,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,ecosystems,NA,Abiotic conditions,NA
poleward shifts in the south atlantic convergence zone (sacz),NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,ecosystems,NA,Abiotic conditions,NA
land rainfall over mc,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,ecosystems,NA,Abiotic conditions,NA
marine cloudiness over mc,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,ecosystems,NA,Abiotic conditions,NA
surface moisture flux convergence,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,ecosystems,NA,Abiotic conditions,NA
blocking index,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,ecosystems,NA,Abiotic conditions,NA
water vapour residence time,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,ecosystems,NA,Abiotic conditions,NA
plant water use efficiency (wue),NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,Ecosystem services,NA,Nature contribution,NA
rainfall variability,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,ecosystems,NA,Abiotic conditions,NA
tropical precipitation,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,ecosystems,NA,Abiotic conditions,NA
atmospheric internal variability,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,ecosystems,NA,Abiotic conditions,NA
volcanic eruptions,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,Direct drivers,NA,Natural drivers,NA
ocean heat content ohc,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,ecosystems,NA,Abiotic conditions,NA
greenland blocking index,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,Direct drivers,NA,Climate change,NA
bedrock topography,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,ecosystems,NA,Abiotic conditions,NA
grounding line retreat,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,ecosystems,NA,Change in ecosystems,NA
retreat of ice sheet,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,ecosystems,NA,Change in ecosystems,NA
glaciar mass loss,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,ecosystems,NA,Change in ecosystems,NA
lake sediments,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,ecosystems,NA,State of ecosystems,NA
speleotherm records,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,ecosystems,NA,Abiotic conditions,NA
tide gauge,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,ecosystems,NA,Abiotic conditions,NA
power dissipation index,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,ecosystems,NA,Abiotic conditions,NA
spatiotemporal variability of meteorological parameters,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,ecosystems,NA,Abiotic conditions,NA
surface albedo,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,ecosystems,NA,Abiotic conditions,NA
sedimentary records,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,Knowledge systems,ecosystems,Specific information on human-nature relationship,Abiotic conditions
extreme temperatures,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,ecosystems,NA,Abiotic conditions,NA
daily precipitation,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,ecosystems,NA,Abiotic conditions,NA
daily temperature,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,ecosystems,NA,Abiotic conditions,NA
mean air temperature,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,ecosystems,NA,Abiotic conditions,NA
"changes in the number of warm nights, warm days, cold nights, and cold days",NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,ecosystems,NA,Abiotic conditions,NA
combined extreme index (cei),NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,ecosystems,NA,Abiotic conditions,NA
minimum temperature,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,ecosystems,NA,Abiotic conditions,NA
reduction in post-volcanic eruption extreme precipitation,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,ecosystems,NA,Abiotic conditions,NA
simple daily intensity index (sdii),NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,ecosystems,NA,Abiotic conditions,NA
highest five day precipitation amount (rx5day),NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,ecosystems,NA,Abiotic conditions,NA
highest one day precipitation amount (rx1day),NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,ecosystems,NA,Abiotic conditions,NA
days of heavy precipitation,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,ecosystems,NA,Abiotic conditions,NA
annual precipitation from daily precipitation > 95th percentile (r95p),NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,ecosystems,NA,Abiotic conditions,NA
standardized precipitation index (spi),NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,ecosystems,NA,Abiotic conditions,NA
consecutive dry days (cdd),NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,ecosystems,NA,Abiotic conditions,NA
precipitation deciles and percentiles,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,ecosystems,NA,Abiotic conditions,NA
potential evaporation anomalies,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,ecosystems,NA,Abiotic conditions,NA
evaporative demand drought index (eddi),NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,ecosystems,NA,Abiotic conditions,NA
standardized soil moisture index (ssmi),NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,ecosystems,NA,Abiotic conditions,NA
standardized runoff index (sri),NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,ecosystems,NA,Abiotic conditions,NA
standardized streamflow index (ssi),NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,ecosystems,NA,Abiotic conditions,NA
threshold level methods,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,ecosystems,NA,Abiotic conditions,NA
standardized groundwater index (sgi),NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,ecosystems,NA,Abiotic conditions,NA
precipitation deficits,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,ecosystems,NA,Abiotic conditions,NA
excess of atmospheric evaporative demand (aed),NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,ecosystems,NA,Abiotic conditions,NA
soil moisture deficits,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,ecosystems,NA,Abiotic conditions,NA
hydrological deficits,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,ecosystems,NA,Abiotic conditions,NA
atmospheric evaporative demand (aed),NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,ecosystems,NA,Abiotic conditions,NA
number of consecutive dry days (cdd),NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,ecosystems,NA,Abiotic conditions,NA
total soil moisture,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,ecosystems,NA,Abiotic conditions,NA
soil moisture-based drought events,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,ecosystems,NA,Abiotic conditions,NA
surface soil moisture,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,ecosystems,NA,Abiotic conditions,NA
water-balance estimates,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,ecosystems,NA,Abiotic conditions,NA
changes in low flows,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,ecosystems,NA,Abiotic conditions,NA
changes in mean streamflow,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,ecosystems,NA,Abiotic conditions,NA
pan evaporation measurements,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,ecosystems,NA,Abiotic conditions,NA
penman-monteith aed (atmospheric evaporative demand),NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,ecosystems,NA,Abiotic conditions,NA
genesis potential index,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,Direct drivers,NA,Natural drivers,NA
increase in global tc maximum surface wind speeds,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,ecosystems,NA,Abiotic conditions,NA
accumulated cyclone energy (ace),NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,ecosystems,NA,Abiotic conditions,NA
heat index (hi),NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,ecosystems,NA,Abiotic conditions,NA
